date,Grabgestaltung,isPartial
2018-01-07,7,False
2018-01-14,13,False
2018-01-21,7,False
2018-01-28,10,False
2018-02-04,10,False
2018-02-11,14,False
2018-02-18,0,False
2018-02-25,10,False
2018-03-04,14,False
2018-03-11,16,False
2018-03-18,14,False
2018-03-25,24,False
2018-04-01,15,False
2018-04-08,19,False
2018-04-15,14,False
2018-04-22,23,False
2018-04-29,14,False
2018-05-06,38,False
2018-05-13,25,False
2018-05-20,26,False
2018-05-27,7,False
2018-06-03,14,False
2018-06-10,6,False
2018-06-17,10,False
2018-06-24,11,False
2018-07-01,6,False
2018-07-08,13,False
2018-07-15,10,False
2018-07-22,7,False
2018-07-29,17,False
2018-08-05,24,False
2018-08-12,11,False
2018-08-19,7,False
2018-08-26,17,False
2018-09-02,14,False
2018-09-09,9,False
2018-09-16,7,False
2018-09-23,27,False
2018-09-30,73,False
2018-10-07,100,False
2018-10-14,38,False
2018-10-21,49,False
2018-10-28,20,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,6,False
2018-11-25,6,False
2018-12-02,6,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,8,False
2018-12-30,14,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,6,False
2019-02-10,0,False
2019-02-17,9,False
2019-02-24,13,False
2019-03-03,13,False
2019-03-10,10,False
2019-03-17,11,False
2019-03-24,18,False
2019-03-31,9,False
2019-04-07,16,False
2019-04-14,7,False
2019-04-21,14,False
2019-04-28,9,False
2019-05-05,27,False
2019-05-12,23,False
2019-05-19,33,False
2019-05-26,20,False
2019-06-02,13,False
2019-06-09,7,False
2019-06-16,7,False
2019-06-23,0,False
2019-06-30,13,False
2019-07-07,6,False
2019-07-14,6,False
2019-07-21,7,False
2019-07-28,7,False
2019-08-04,7,False
2019-08-11,7,False
2019-08-18,7,False
2019-08-25,14,False
2019-09-01,6,False
2019-09-08,10,False
2019-09-15,17,False
2019-09-22,16,False
2019-09-29,35,False
2019-10-06,55,False
2019-10-13,39,False
2019-10-20,75,False
2019-10-27,14,False
2019-11-03,6,False
2019-11-10,6,False
2019-11-17,6,False
2019-11-24,6,False
2019-12-01,6,False
2019-12-08,0,False
2019-12-15,6,False
2019-12-22,7,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,8,False
2020-01-19,6,False
2020-01-26,6,False
2020-02-02,6,False
2020-02-09,7,False
2020-02-16,6,False
2020-02-23,9,False
2020-03-01,8,False
2020-03-08,5,False
2020-03-15,5,False
2020-03-22,5,False
2020-03-29,5,False
2020-04-05,17,False
2020-04-12,7,False
2020-04-19,11,False
2020-04-26,7,False
2020-05-03,33,False
2020-05-10,28,False
