date,Grabgestaltung,isPartial
2018-01-07,12,False
2018-01-14,24,False
2018-01-21,12,False
2018-01-28,24,False
2018-02-04,19,False
2018-02-11,12,False
2018-02-18,31,False
2018-02-25,24,False
2018-03-04,49,False
2018-03-11,49,False
2018-03-18,25,False
2018-03-25,46,False
2018-04-01,52,False
2018-04-08,37,False
2018-04-15,38,False
2018-04-22,42,False
2018-04-29,32,False
2018-05-06,38,False
2018-05-13,24,False
2018-05-20,45,False
2018-05-27,49,False
2018-06-03,12,False
2018-06-10,29,False
2018-06-17,12,False
2018-06-24,31,False
2018-07-01,24,False
2018-07-08,0,False
2018-07-15,25,False
2018-07-22,19,False
2018-07-29,33,False
2018-08-05,39,False
2018-08-12,19,False
2018-08-19,25,False
2018-08-26,62,False
2018-09-02,24,False
2018-09-09,37,False
2018-09-16,25,False
2018-09-23,44,False
2018-09-30,63,False
2018-10-07,100,False
2018-10-14,76,False
2018-10-21,75,False
2018-10-28,24,False
2018-11-04,12,False
2018-11-11,12,False
2018-11-18,12,False
2018-11-25,12,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,12,False
2018-12-23,28,False
2018-12-30,19,False
2019-01-06,11,False
2019-01-13,34,False
2019-01-20,11,False
2019-01-27,0,False
2019-02-03,23,False
2019-02-10,23,False
2019-02-17,17,False
2019-02-24,24,False
2019-03-03,11,False
2019-03-10,22,False
2019-03-17,18,False
2019-03-24,23,False
2019-03-31,40,False
2019-04-07,35,False
2019-04-14,19,False
2019-04-21,25,False
2019-04-28,18,False
2019-05-05,57,False
2019-05-12,47,False
2019-05-19,29,False
2019-05-26,12,False
2019-06-02,35,False
2019-06-09,18,False
2019-06-16,24,False
2019-06-23,12,False
2019-06-30,12,False
2019-07-07,11,False
2019-07-14,0,False
2019-07-21,26,False
2019-07-28,25,False
2019-08-04,13,False
2019-08-11,24,False
2019-08-18,24,False
2019-08-25,12,False
2019-09-01,34,False
2019-09-08,35,False
2019-09-15,23,False
2019-09-22,34,False
2019-09-29,29,False
2019-10-06,62,False
2019-10-13,57,False
2019-10-20,46,False
2019-10-27,39,False
2019-11-03,11,False
2019-11-10,11,False
2019-11-17,11,False
2019-11-24,10,False
2019-12-01,0,False
2019-12-08,22,False
2019-12-15,11,False
2019-12-22,0,False
2019-12-29,24,False
2020-01-05,10,False
2020-01-12,10,False
2020-01-19,10,False
2020-01-26,20,False
2020-02-02,40,False
2020-02-09,15,False
2020-02-16,10,False
2020-02-23,30,False
2020-03-01,15,False
2020-03-08,33,False
2020-03-15,9,False
2020-03-22,28,False
2020-03-29,37,False
2020-04-05,51,False
2020-04-12,43,False
2020-04-19,19,False
2020-04-26,64,False
2020-05-03,28,False
2020-05-10,43,False
