date,Grabgestaltung,isPartial
2018-01-07,0,False
2018-01-14,48,False
2018-01-21,32,False
2018-01-28,32,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,33,False
2018-02-25,0,False
2018-03-04,32,False
2018-03-11,80,False
2018-03-18,33,False
2018-03-25,50,False
2018-04-01,100,False
2018-04-08,50,False
2018-04-15,45,False
2018-04-22,64,False
2018-04-29,34,False
2018-05-06,51,False
2018-05-13,54,False
2018-05-20,34,False
2018-05-27,42,False
2018-06-03,81,False
2018-06-10,47,False
2018-06-17,64,False
2018-06-24,33,False
2018-07-01,34,False
2018-07-08,34,False
2018-07-15,36,False
2018-07-22,34,False
2018-07-29,49,False
2018-08-05,31,False
2018-08-12,62,False
2018-08-19,0,False
2018-08-26,32,False
2018-09-02,0,False
2018-09-09,80,False
2018-09-16,64,False
2018-09-23,32,False
2018-09-30,67,False
2018-10-07,67,False
2018-10-14,64,False
2018-10-21,47,False
2018-10-28,83,False
2018-11-04,31,False
2018-11-11,32,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,32,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,30,False
2019-01-13,0,False
2019-01-20,30,False
2019-01-27,60,False
2019-02-03,0,False
2019-02-10,31,False
2019-02-17,62,False
2019-02-24,52,False
2019-03-03,31,False
2019-03-10,59,False
2019-03-17,46,False
2019-03-24,62,False
2019-03-31,47,False
2019-04-07,82,False
2019-04-14,34,False
2019-04-21,0,False
2019-04-28,31,False
2019-05-05,46,False
2019-05-12,72,False
2019-05-19,40,False
2019-05-26,31,False
2019-06-02,59,False
2019-06-09,61,False
2019-06-16,30,False
2019-06-23,0,False
2019-06-30,46,False
2019-07-07,62,False
2019-07-14,33,False
2019-07-21,34,False
2019-07-28,48,False
2019-08-04,32,False
2019-08-11,29,False
2019-08-18,45,False
2019-08-25,30,False
2019-09-01,58,False
2019-09-08,79,False
2019-09-15,89,False
2019-09-22,29,False
2019-09-29,80,False
2019-10-06,30,False
2019-10-13,73,False
2019-10-20,29,False
2019-10-27,38,False
2019-11-03,28,False
2019-11-10,0,False
2019-11-17,28,False
2019-11-24,27,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,28,False
2019-12-22,61,False
2019-12-29,29,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,27,False
2020-01-26,54,False
2020-02-02,40,False
2020-02-09,52,False
2020-02-16,27,False
2020-02-23,27,False
2020-03-01,36,False
2020-03-08,50,False
2020-03-15,33,False
2020-03-22,25,False
2020-03-29,49,False
2020-04-05,54,False
2020-04-12,52,False
2020-04-19,37,False
2020-04-26,64,False
2020-05-03,49,False
2020-05-10,49,False
