date,album fotografici,isPartial
2018-01-07,28,False
2018-01-14,54,False
2018-01-21,27,False
2018-01-28,41,False
2018-02-04,80,False
2018-02-11,54,False
2018-02-18,52,False
2018-02-25,26,False
2018-03-04,25,False
2018-03-11,51,False
2018-03-18,39,False
2018-03-25,54,False
2018-04-01,42,False
2018-04-08,39,False
2018-04-15,26,False
2018-04-22,84,False
2018-04-29,0,False
2018-05-06,77,False
2018-05-13,51,False
2018-05-20,39,False
2018-05-27,65,False
2018-06-03,40,False
2018-06-10,39,False
2018-06-17,27,False
2018-06-24,41,False
2018-07-01,40,False
2018-07-08,81,False
2018-07-15,27,False
2018-07-22,27,False
2018-07-29,29,False
2018-08-05,63,False
2018-08-12,72,False
2018-08-19,70,False
2018-08-26,71,False
2018-09-02,51,False
2018-09-09,38,False
2018-09-16,100,False
2018-09-23,51,False
2018-09-30,25,False
2018-10-07,26,False
2018-10-14,77,False
2018-10-21,25,False
2018-10-28,25,False
2018-11-04,60,False
2018-11-11,50,False
2018-11-18,24,False
2018-11-25,76,False
2018-12-02,51,False
2018-12-09,50,False
2018-12-16,52,False
2018-12-23,31,False
2018-12-30,30,False
2019-01-06,26,False
2019-01-13,24,False
2019-01-20,48,False
2019-01-27,60,False
2019-02-03,49,False
2019-02-10,24,False
2019-02-17,25,False
2019-02-24,51,False
2019-03-03,51,False
2019-03-10,25,False
2019-03-17,51,False
2019-03-24,39,False
2019-03-31,26,False
2019-04-07,38,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,40,False
2019-05-05,38,False
2019-05-12,25,False
2019-05-19,24,False
2019-05-26,0,False
2019-06-02,26,False
2019-06-09,51,False
2019-06-16,51,False
2019-06-23,0,False
2019-06-30,27,False
2019-07-07,26,False
2019-07-14,27,False
2019-07-21,55,False
2019-07-28,29,False
2019-08-04,77,False
2019-08-11,0,False
2019-08-18,49,False
2019-08-25,43,False
2019-09-01,61,False
2019-09-08,25,False
2019-09-15,0,False
2019-09-22,48,False
2019-09-29,72,False
2019-10-06,36,False
2019-10-13,36,False
2019-10-20,58,False
2019-10-27,35,False
2019-11-03,46,False
2019-11-10,46,False
2019-11-17,34,False
2019-11-24,45,False
2019-12-01,35,False
2019-12-08,48,False
2019-12-15,24,False
2019-12-22,29,False
2019-12-29,28,False
2020-01-05,35,False
2020-01-12,65,False
2020-01-19,45,False
2020-01-26,33,False
2020-02-02,22,False
2020-02-09,22,False
2020-02-16,22,False
2020-02-23,31,False
2020-03-01,31,False
2020-03-08,41,False
2020-03-15,0,False
2020-03-22,60,False
2020-03-29,21,False
2020-04-05,21,False
2020-04-12,54,False
2020-04-19,41,False
2020-04-26,35,True
