date,Geschirrspüler reparieren,isPartial
2018-01-07,100,False
2018-01-14,49,False
2018-01-21,74,False
2018-01-28,41,False
2018-02-04,38,False
2018-02-11,25,False
2018-02-18,25,False
2018-02-25,50,False
2018-03-04,25,False
2018-03-11,25,False
2018-03-18,25,False
2018-03-25,27,False
2018-04-01,27,False
2018-04-08,26,False
2018-04-15,27,False
2018-04-22,25,False
2018-04-29,26,False
2018-05-06,35,False
2018-05-13,50,False
2018-05-20,27,False
2018-05-27,51,False
2018-06-03,25,False
2018-06-10,24,False
2018-06-17,33,False
2018-06-24,43,False
2018-07-01,50,False
2018-07-08,25,False
2018-07-15,35,False
2018-07-22,26,False
2018-07-29,26,False
2018-08-05,52,False
2018-08-12,35,False
2018-08-19,26,False
2018-08-26,26,False
2018-09-02,76,False
2018-09-09,68,False
2018-09-16,0,False
2018-09-23,26,False
2018-09-30,38,False
2018-10-07,25,False
2018-10-14,0,False
2018-10-21,58,False
2018-10-28,49,False
2018-11-04,60,False
2018-11-11,33,False
2018-11-18,24,False
2018-11-25,24,False
2018-12-02,97,False
2018-12-09,24,False
2018-12-16,38,False
2018-12-23,48,False
2018-12-30,52,False
2019-01-06,23,False
2019-01-13,23,False
2019-01-20,23,False
2019-01-27,46,False
2019-02-03,39,False
2019-02-10,71,False
2019-02-17,0,False
2019-02-24,24,False
2019-03-03,35,False
2019-03-10,31,False
2019-03-17,24,False
2019-03-24,24,False
2019-03-31,49,False
2019-04-07,24,False
2019-04-14,26,False
2019-04-21,51,False
2019-04-28,47,False
2019-05-05,47,False
2019-05-12,24,False
2019-05-19,23,False
2019-05-26,24,False
2019-06-02,35,False
2019-06-09,24,False
2019-06-16,37,False
2019-06-23,32,False
2019-06-30,24,False
2019-07-07,24,False
2019-07-14,25,False
2019-07-21,35,False
2019-07-28,25,False
2019-08-04,42,False
2019-08-11,24,False
2019-08-18,0,False
2019-08-25,24,False
2019-09-01,35,False
2019-09-08,0,False
2019-09-15,24,False
2019-09-22,31,False
2019-09-29,59,False
2019-10-06,23,False
2019-10-13,23,False
2019-10-20,46,False
2019-10-27,23,False
2019-11-03,33,False
2019-11-10,33,False
2019-11-17,22,False
2019-11-24,44,False
2019-12-01,33,False
2019-12-08,22,False
2019-12-15,23,False
2019-12-22,52,False
2019-12-29,0,False
2020-01-05,53,False
2020-01-12,41,False
2020-01-19,53,False
2020-01-26,21,False
2020-02-02,32,False
2020-02-09,31,False
2020-02-16,32,False
2020-02-23,42,False
2020-03-01,21,False
2020-03-08,19,False
2020-03-15,38,False
2020-03-22,28,False
2020-03-29,31,False
2020-04-05,0,False
2020-04-12,33,False
2020-04-19,39,False
2020-04-26,28,False
2020-05-03,25,False
2020-05-10,26,False
