date,cours maths 3eme,isPartial
2018-01-07,78,False
2018-01-14,51,False
2018-01-21,62,False
2018-01-28,73,False
2018-02-04,31,False
2018-02-11,78,False
2018-02-18,0,False
2018-02-25,73,False
2018-03-04,52,False
2018-03-11,47,False
2018-03-18,63,False
2018-03-25,32,False
2018-04-01,32,False
2018-04-08,42,False
2018-04-15,34,False
2018-04-22,0,False
2018-04-29,32,False
2018-05-06,100,False
2018-05-13,47,False
2018-05-20,81,False
2018-05-27,93,False
2018-06-03,31,False
2018-06-10,40,False
2018-06-17,32,False
2018-06-24,96,False
2018-07-01,31,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,68,False
2018-08-05,0,False
2018-08-12,53,False
2018-08-19,34,False
2018-08-26,0,False
2018-09-02,48,False
2018-09-09,65,False
2018-09-16,32,False
2018-09-23,32,False
2018-09-30,48,False
2018-10-07,64,False
2018-10-14,65,False
2018-10-21,32,False
2018-10-28,32,False
2018-11-04,62,False
2018-11-11,62,False
2018-11-18,31,False
2018-11-25,94,False
2018-12-02,63,False
2018-12-09,32,False
2018-12-16,49,False
2018-12-23,37,False
2018-12-30,34,False
2019-01-06,63,False
2019-01-13,52,False
2019-01-20,31,False
2019-01-27,61,False
2019-02-03,46,False
2019-02-10,0,False
2019-02-17,32,False
2019-02-24,64,False
2019-03-03,41,False
2019-03-10,62,False
2019-03-17,32,False
2019-03-24,43,False
2019-03-31,62,False
2019-04-07,53,False
2019-04-14,0,False
2019-04-21,32,False
2019-04-28,0,False
2019-05-05,31,False
2019-05-12,31,False
2019-05-19,31,False
2019-05-26,31,False
2019-06-02,29,False
2019-06-09,40,False
2019-06-16,47,False
2019-06-23,62,False
2019-06-30,31,False
2019-07-07,62,False
2019-07-14,0,False
2019-07-21,33,False
2019-07-28,0,False
2019-08-04,67,False
2019-08-11,0,False
2019-08-18,33,False
2019-08-25,0,False
2019-09-01,60,False
2019-09-08,40,False
2019-09-15,45,False
2019-09-22,58,False
2019-09-29,48,False
2019-10-06,29,False
2019-10-13,29,False
2019-10-20,44,False
2019-10-27,29,False
2019-11-03,0,False
2019-11-10,29,False
2019-11-17,57,False
2019-11-24,37,False
2019-12-01,28,False
2019-12-08,46,False
2019-12-15,28,False
2019-12-22,0,False
2019-12-29,45,False
2020-01-05,55,False
2020-01-12,40,False
2020-01-19,46,False
2020-01-26,54,False
2020-02-02,27,False
2020-02-09,27,False
2020-02-16,28,False
2020-02-23,27,False
2020-03-01,26,False
2020-03-08,26,False
2020-03-15,33,False
2020-03-22,81,False
2020-03-29,40,False
2020-04-05,49,False
2020-04-12,0,False
2020-04-19,37,False
2020-04-26,35,False
2020-05-03,0,False
2020-05-10,49,False
2020-05-17,60,True
