date,Wasserschaden Trocknung,isPartial
2018-01-07,31,False
2018-01-14,0,False
2018-01-21,46,False
2018-01-28,31,False
2018-02-04,32,False
2018-02-11,0,False
2018-02-18,32,False
2018-02-25,47,False
2018-03-04,62,False
2018-03-11,62,False
2018-03-18,63,False
2018-03-25,34,False
2018-04-01,51,False
2018-04-08,32,False
2018-04-15,100,False
2018-04-22,42,False
2018-04-29,33,False
2018-05-06,0,False
2018-05-13,32,False
2018-05-20,34,False
2018-05-27,48,False
2018-06-03,32,False
2018-06-10,77,False
2018-06-17,31,False
2018-06-24,48,False
2018-07-01,47,False
2018-07-08,32,False
2018-07-15,49,False
2018-07-22,33,False
2018-07-29,33,False
2018-08-05,32,False
2018-08-12,33,False
2018-08-19,0,False
2018-08-26,33,False
2018-09-02,32,False
2018-09-09,53,False
2018-09-16,0,False
2018-09-23,80,False
2018-09-30,48,False
2018-10-07,32,False
2018-10-14,42,False
2018-10-21,62,False
2018-10-28,77,False
2018-11-04,45,False
2018-11-11,62,False
2018-11-18,89,False
2018-11-25,46,False
2018-12-02,30,False
2018-12-09,77,False
2018-12-16,63,False
2018-12-23,36,False
2018-12-30,44,False
2019-01-06,49,False
2019-01-13,58,False
2019-01-20,71,False
2019-01-27,58,False
2019-02-03,44,False
2019-02-10,30,False
2019-02-17,30,False
2019-02-24,31,False
2019-03-03,0,False
2019-03-10,44,False
2019-03-17,30,False
2019-03-24,30,False
2019-03-31,31,False
2019-04-07,30,False
2019-04-14,33,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,68,False
2019-05-12,90,False
2019-05-19,44,False
2019-05-26,62,False
2019-06-02,59,False
2019-06-09,41,False
2019-06-16,61,False
2019-06-23,61,False
2019-06-30,30,False
2019-07-07,30,False
2019-07-14,47,False
2019-07-21,33,False
2019-07-28,32,False
2019-08-04,32,False
2019-08-11,46,False
2019-08-18,0,False
2019-08-25,45,False
2019-09-01,30,False
2019-09-08,60,False
2019-09-15,40,False
2019-09-22,29,False
2019-09-29,29,False
2019-10-06,29,False
2019-10-13,29,False
2019-10-20,38,False
2019-10-27,28,False
2019-11-03,82,False
2019-11-10,28,False
2019-11-17,41,False
2019-11-24,36,False
2019-12-01,84,False
2019-12-08,84,False
2019-12-15,86,False
2019-12-22,33,False
2019-12-29,30,False
2020-01-05,80,False
2020-01-12,39,False
2020-01-19,44,False
2020-01-26,52,False
2020-02-02,27,False
2020-02-09,69,False
2020-02-16,27,False
2020-02-23,0,False
2020-03-01,26,False
2020-03-08,37,False
2020-03-15,24,False
2020-03-22,48,False
2020-03-29,47,False
2020-04-05,39,False
2020-04-12,50,False
2020-04-19,0,False
2020-04-26,24,False
2020-05-03,48,False
2020-05-10,48,False
