date,vestiti su misura,isPartial
2018-01-07,29,False
2018-01-14,0,False
2018-01-21,29,False
2018-01-28,57,False
2018-02-04,56,False
2018-02-11,29,False
2018-02-18,28,False
2018-02-25,27,False
2018-03-04,55,False
2018-03-11,28,False
2018-03-18,29,False
2018-03-25,30,False
2018-04-01,31,False
2018-04-08,0,False
2018-04-15,58,False
2018-04-22,0,False
2018-04-29,29,False
2018-05-06,100,False
2018-05-13,43,False
2018-05-20,0,False
2018-05-27,29,False
2018-06-03,0,False
2018-06-10,28,False
2018-06-17,0,False
2018-06-24,44,False
2018-07-01,43,False
2018-07-08,29,False
2018-07-15,0,False
2018-07-22,29,False
2018-07-29,30,False
2018-08-05,30,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,28,False
2018-09-09,28,False
2018-09-16,83,False
2018-09-23,0,False
2018-09-30,57,False
2018-10-07,58,False
2018-10-14,59,False
2018-10-21,28,False
2018-10-28,28,False
2018-11-04,55,False
2018-11-11,29,False
2018-11-18,0,False
2018-11-25,29,False
2018-12-02,58,False
2018-12-09,58,False
2018-12-16,0,False
2018-12-23,68,False
2018-12-30,31,False
2019-01-06,43,False
2019-01-13,28,False
2019-01-20,54,False
2019-01-27,0,False
2019-02-03,81,False
2019-02-10,0,False
2019-02-17,28,False
2019-02-24,55,False
2019-03-03,29,False
2019-03-10,0,False
2019-03-17,29,False
2019-03-24,29,False
2019-03-31,0,False
2019-04-07,56,False
2019-04-14,0,False
2019-04-21,30,False
2019-04-28,57,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,41,False
2019-05-26,26,False
2019-06-02,71,False
2019-06-09,29,False
2019-06-16,43,False
2019-06-23,58,False
2019-06-30,29,False
2019-07-07,28,False
2019-07-14,58,False
2019-07-21,0,False
2019-07-28,29,False
2019-08-04,61,False
2019-08-11,32,False
2019-08-18,0,False
2019-08-25,27,False
2019-09-01,26,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,26,False
2019-09-29,53,False
2019-10-06,27,False
2019-10-13,27,False
2019-10-20,26,False
2019-10-27,26,False
2019-11-03,25,False
2019-11-10,0,False
2019-11-17,51,False
2019-11-24,26,False
2019-12-01,27,False
2019-12-08,80,False
2019-12-15,27,False
2019-12-22,47,False
2019-12-29,30,False
2020-01-05,26,False
2020-01-12,50,False
2020-01-19,25,False
2020-01-26,25,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,37,False
2020-02-23,23,False
2020-03-01,47,False
2020-03-08,23,False
2020-03-15,0,False
2020-03-22,21,False
2020-03-29,0,False
2020-04-05,23,False
2020-04-12,23,False
2020-04-19,21,False
2020-04-26,38,True
