date,sposi foto,isPartial
2018-01-07,61,False
2018-01-14,81,False
2018-01-21,27,False
2018-01-28,40,False
2018-02-04,46,False
2018-02-11,53,False
2018-02-18,45,False
2018-02-25,32,False
2018-03-04,13,False
2018-03-11,65,False
2018-03-18,20,False
2018-03-25,49,False
2018-04-01,29,False
2018-04-08,40,False
2018-04-15,27,False
2018-04-22,56,False
2018-04-29,40,False
2018-05-06,73,False
2018-05-13,86,False
2018-05-20,100,False
2018-05-27,27,False
2018-06-03,88,False
2018-06-10,71,False
2018-06-17,47,False
2018-06-24,94,False
2018-07-01,60,False
2018-07-08,60,False
2018-07-15,41,False
2018-07-22,68,False
2018-07-29,35,False
2018-08-05,42,False
2018-08-12,23,False
2018-08-19,44,False
2018-08-26,68,False
2018-09-02,91,False
2018-09-09,39,False
2018-09-16,64,False
2018-09-23,53,False
2018-09-30,39,False
2018-10-07,40,False
2018-10-14,54,False
2018-10-21,40,False
2018-10-28,52,False
2018-11-04,26,False
2018-11-11,13,False
2018-11-18,33,False
2018-11-25,40,False
2018-12-02,27,False
2018-12-09,27,False
2018-12-16,56,False
2018-12-23,16,False
2018-12-30,22,False
2019-01-06,13,False
2019-01-13,26,False
2019-01-20,19,False
2019-01-27,68,False
2019-02-03,50,False
2019-02-10,13,False
2019-02-17,52,False
2019-02-24,26,False
2019-03-03,20,False
2019-03-10,13,False
2019-03-17,20,False
2019-03-24,53,False
2019-03-31,53,False
2019-04-07,26,False
2019-04-14,34,False
2019-04-21,85,False
2019-04-28,79,False
2019-05-05,44,False
2019-05-12,57,False
2019-05-19,38,False
2019-05-26,43,False
2019-06-02,46,False
2019-06-09,39,False
2019-06-16,33,False
2019-06-23,40,False
2019-06-30,27,False
2019-07-07,51,False
2019-07-14,27,False
2019-07-21,0,False
2019-07-28,48,False
2019-08-04,35,False
2019-08-11,23,False
2019-08-18,42,False
2019-08-25,38,False
2019-09-01,60,False
2019-09-08,38,False
2019-09-15,49,False
2019-09-22,36,False
2019-09-29,25,False
2019-10-06,31,False
2019-10-13,31,False
2019-10-20,42,False
2019-10-27,36,False
2019-11-03,23,False
2019-11-10,36,False
2019-11-17,24,False
2019-11-24,18,False
2019-12-01,25,False
2019-12-08,31,False
2019-12-15,19,False
2019-12-22,29,False
2019-12-29,21,False
2020-01-05,12,False
2020-01-12,28,False
2020-01-19,40,False
2020-01-26,40,False
2020-02-02,23,False
2020-02-09,18,False
2020-02-16,23,False
2020-02-23,32,False
2020-03-01,32,False
2020-03-08,21,False
2020-03-15,21,False
2020-03-22,29,False
2020-03-29,20,False
2020-04-05,37,False
2020-04-12,11,False
2020-04-19,55,False
2020-04-26,44,True
