date,Heizkörper anschließen,isPartial
2018-01-07,0,False
2018-01-14,54,False
2018-01-21,23,False
2018-01-28,54,False
2018-02-04,48,False
2018-02-11,60,False
2018-02-18,24,False
2018-02-25,24,False
2018-03-04,35,False
2018-03-11,24,False
2018-03-18,24,False
2018-03-25,25,False
2018-04-01,0,False
2018-04-08,24,False
2018-04-15,0,False
2018-04-22,36,False
2018-04-29,25,False
2018-05-06,25,False
2018-05-13,24,False
2018-05-20,25,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,47,False
2018-06-24,24,False
2018-07-01,24,False
2018-07-08,0,False
2018-07-15,25,False
2018-07-22,0,False
2018-07-29,25,False
2018-08-05,24,False
2018-08-12,25,False
2018-08-19,25,False
2018-08-26,24,False
2018-09-02,24,False
2018-09-09,36,False
2018-09-16,48,False
2018-09-23,48,False
2018-09-30,56,False
2018-10-07,40,False
2018-10-14,24,False
2018-10-21,47,False
2018-10-28,70,False
2018-11-04,53,False
2018-11-11,47,False
2018-11-18,45,False
2018-11-25,70,False
2018-12-02,46,False
2018-12-09,31,False
2018-12-16,48,False
2018-12-23,0,False
2018-12-30,49,False
2019-01-06,22,False
2019-01-13,33,False
2019-01-20,54,False
2019-01-27,29,False
2019-02-03,33,False
2019-02-10,23,False
2019-02-17,23,False
2019-02-24,35,False
2019-03-03,22,False
2019-03-10,33,False
2019-03-17,23,False
2019-03-24,23,False
2019-03-31,23,False
2019-04-07,22,False
2019-04-14,49,False
2019-04-21,36,False
2019-04-28,0,False
2019-05-05,22,False
2019-05-12,23,False
2019-05-19,67,False
2019-05-26,23,False
2019-06-02,22,False
2019-06-09,35,False
2019-06-16,46,False
2019-06-23,23,False
2019-06-30,23,False
2019-07-07,22,False
2019-07-14,0,False
2019-07-21,37,False
2019-07-28,0,False
2019-08-04,48,False
2019-08-11,46,False
2019-08-18,23,False
2019-08-25,23,False
2019-09-01,22,False
2019-09-08,45,False
2019-09-15,38,False
2019-09-22,55,False
2019-09-29,100,False
2019-10-06,66,False
2019-10-13,36,False
2019-10-20,22,False
2019-10-27,43,False
2019-11-03,41,False
2019-11-10,77,False
2019-11-17,28,False
2019-11-24,48,False
2019-12-01,28,False
2019-12-08,21,False
2019-12-15,36,False
2019-12-22,0,False
2019-12-29,23,False
2020-01-05,41,False
2020-01-12,77,False
2020-01-19,40,False
2020-01-26,60,False
2020-02-02,47,False
2020-02-09,33,False
2020-02-16,20,False
2020-02-23,20,False
2020-03-01,29,False
2020-03-08,19,False
2020-03-15,30,False
2020-03-22,18,False
2020-03-29,18,False
2020-04-05,20,False
2020-04-12,19,False
2020-04-19,0,False
2020-04-26,27,False
2020-05-03,45,False
2020-05-10,27,False
