date,Kellersanierung,isPartial
2018-01-07,23,False
2018-01-14,39,False
2018-01-21,23,False
2018-01-28,47,False
2018-02-04,32,False
2018-02-11,40,False
2018-02-18,32,False
2018-02-25,47,False
2018-03-04,40,False
2018-03-11,35,False
2018-03-18,48,False
2018-03-25,25,False
2018-04-01,26,False
2018-04-08,61,False
2018-04-15,50,False
2018-04-22,36,False
2018-04-29,25,False
2018-05-06,25,False
2018-05-13,24,False
2018-05-20,0,False
2018-05-27,37,False
2018-06-03,24,False
2018-06-10,35,False
2018-06-17,47,False
2018-06-24,37,False
2018-07-01,36,False
2018-07-08,0,False
2018-07-15,41,False
2018-07-22,0,False
2018-07-29,33,False
2018-08-05,33,False
2018-08-12,62,False
2018-08-19,25,False
2018-08-26,33,False
2018-09-02,24,False
2018-09-09,49,False
2018-09-16,24,False
2018-09-23,49,False
2018-09-30,24,False
2018-10-07,24,False
2018-10-14,48,False
2018-10-21,24,False
2018-10-28,47,False
2018-11-04,31,False
2018-11-11,47,False
2018-11-18,45,False
2018-11-25,23,False
2018-12-02,0,False
2018-12-09,23,False
2018-12-16,24,False
2018-12-23,27,False
2018-12-30,66,False
2019-01-06,44,False
2019-01-13,65,False
2019-01-20,33,False
2019-01-27,22,False
2019-02-03,34,False
2019-02-10,57,False
2019-02-17,23,False
2019-02-24,31,False
2019-03-03,30,False
2019-03-10,100,False
2019-03-17,46,False
2019-03-24,23,False
2019-03-31,46,False
2019-04-07,45,False
2019-04-14,75,False
2019-04-21,48,False
2019-04-28,89,False
2019-05-05,44,False
2019-05-12,38,False
2019-05-19,75,False
2019-05-26,54,False
2019-06-02,45,False
2019-06-09,23,False
2019-06-16,23,False
2019-06-23,23,False
2019-06-30,38,False
2019-07-07,22,False
2019-07-14,47,False
2019-07-21,0,False
2019-07-28,24,False
2019-08-04,24,False
2019-08-11,46,False
2019-08-18,23,False
2019-08-25,38,False
2019-09-01,22,False
2019-09-08,38,False
2019-09-15,45,False
2019-09-22,44,False
2019-09-29,45,False
2019-10-06,44,False
2019-10-13,36,False
2019-10-20,43,False
2019-10-27,43,False
2019-11-03,0,False
2019-11-10,32,False
2019-11-17,56,False
2019-11-24,21,False
2019-12-01,32,False
2019-12-08,21,False
2019-12-15,22,False
2019-12-22,25,False
2019-12-29,46,False
2020-01-05,34,False
2020-01-12,33,False
2020-01-19,40,False
2020-01-26,40,False
2020-02-02,30,False
2020-02-09,20,False
2020-02-16,20,False
2020-02-23,40,False
2020-03-01,59,False
2020-03-08,28,False
2020-03-15,18,False
2020-03-22,0,False
2020-03-29,36,False
2020-04-05,46,False
2020-04-12,19,False
2020-04-19,43,False
2020-04-26,42,False
2020-05-03,49,False
2020-05-10,18,False
