date,house music,isPartial
2018-01-07,0,False
2018-01-14,81,False
2018-01-21,0,False
2018-01-28,39,False
2018-02-04,38,False
2018-02-11,41,False
2018-02-18,40,False
2018-02-25,40,False
2018-03-04,40,False
2018-03-11,41,False
2018-03-18,42,False
2018-03-25,43,False
2018-04-01,45,False
2018-04-08,41,False
2018-04-15,0,False
2018-04-22,44,False
2018-04-29,42,False
2018-05-06,42,False
2018-05-13,0,False
2018-05-20,42,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,41,False
2018-06-17,45,False
2018-06-24,46,False
2018-07-01,45,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,54,False
2018-08-12,0,False
2018-08-19,57,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,45,False
2018-09-30,45,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,44,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,41,False
2018-11-25,83,False
2018-12-02,0,False
2018-12-09,64,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,42,False
2019-01-13,41,False
2019-01-20,38,False
2019-01-27,76,False
2019-02-03,39,False
2019-02-10,0,False
2019-02-17,59,False
2019-02-24,0,False
2019-03-03,41,False
2019-03-10,40,False
2019-03-17,41,False
2019-03-24,40,False
2019-03-31,0,False
2019-04-07,39,False
2019-04-14,41,False
2019-04-21,67,False
2019-04-28,0,False
2019-05-05,40,False
2019-05-12,40,False
2019-05-19,59,False
2019-05-26,0,False
2019-06-02,40,False
2019-06-09,0,False
2019-06-16,40,False
2019-06-23,41,False
2019-06-30,41,False
2019-07-07,0,False
2019-07-14,42,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,38,False
2019-09-08,39,False
2019-09-15,37,False
2019-09-22,0,False
2019-09-29,38,False
2019-10-06,0,False
2019-10-13,38,False
2019-10-20,36,False
2019-10-27,0,False
2019-11-03,37,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,38,False
2019-12-15,0,False
2019-12-22,42,False
2019-12-29,83,False
2020-01-05,35,False
2020-01-12,100,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,33,False
2020-02-09,0,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,29,False
2020-03-29,45,False
2020-04-05,63,False
2020-04-12,48,False
2020-04-19,0,False
2020-04-26,51,True
