date,moustiquaire fenêtre,isPartial
2018-01-07,6,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,6,False
2018-02-11,6,False
2018-02-18,6,False
2018-02-25,6,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,12,False
2018-03-25,19,False
2018-04-01,6,False
2018-04-08,6,False
2018-04-15,29,False
2018-04-22,15,False
2018-04-29,27,False
2018-05-06,24,False
2018-05-13,10,False
2018-05-20,19,False
2018-05-27,14,False
2018-06-03,24,False
2018-06-10,24,False
2018-06-17,14,False
2018-06-24,25,False
2018-07-01,22,False
2018-07-08,28,False
2018-07-15,20,False
2018-07-22,31,False
2018-07-29,18,False
2018-08-05,25,False
2018-08-12,14,False
2018-08-19,9,False
2018-08-26,13,False
2018-09-02,9,False
2018-09-09,8,False
2018-09-16,9,False
2018-09-23,6,False
2018-09-30,6,False
2018-10-07,8,False
2018-10-14,12,False
2018-10-21,6,False
2018-10-28,0,False
2018-11-04,6,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,6,False
2018-12-09,0,False
2018-12-16,13,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,6,False
2019-01-20,12,False
2019-01-27,6,False
2019-02-03,9,False
2019-02-10,19,False
2019-02-17,22,False
2019-02-24,6,False
2019-03-03,12,False
2019-03-10,14,False
2019-03-17,0,False
2019-03-24,17,False
2019-03-31,9,False
2019-04-07,16,False
2019-04-14,17,False
2019-04-21,17,False
2019-04-28,15,False
2019-05-05,9,False
2019-05-12,12,False
2019-05-19,10,False
2019-05-26,28,False
2019-06-02,49,False
2019-06-09,16,False
2019-06-16,39,False
2019-06-23,38,False
2019-06-30,60,False
2019-07-07,20,False
2019-07-14,15,False
2019-07-21,32,False
2019-07-28,17,False
2019-08-04,19,False
2019-08-11,10,False
2019-08-18,10,False
2019-08-25,20,False
2019-09-01,9,False
2019-09-08,6,False
2019-09-15,16,False
2019-09-22,0,False
2019-09-29,8,False
2019-10-06,0,False
2019-10-13,6,False
2019-10-20,6,False
2019-10-27,6,False
2019-11-03,11,False
2019-11-10,0,False
2019-11-17,5,False
2019-11-24,5,False
2019-12-01,5,False
2019-12-08,0,False
2019-12-15,5,False
2019-12-22,6,False
2019-12-29,12,False
2020-01-05,5,False
2020-01-12,7,False
2020-01-19,5,False
2020-01-26,5,False
2020-02-02,0,False
2020-02-09,14,False
2020-02-16,0,False
2020-02-23,13,False
2020-03-01,10,False
2020-03-08,10,False
2020-03-15,10,False
2020-03-22,8,False
2020-03-29,19,False
2020-04-05,46,False
2020-04-12,52,False
2020-04-19,49,False
2020-04-26,42,False
2020-05-03,99,False
2020-05-10,33,False
2020-05-17,99,False
2020-05-24,84,False
2020-05-31,83,False
2020-06-07,33,False
2020-06-14,45,False
2020-06-21,100,True
