date,bomboniere battesimo bimba,isPartial
2018-01-07,67,False
2018-01-14,49,False
2018-01-21,82,False
2018-01-28,57,False
2018-02-04,48,False
2018-02-11,49,False
2018-02-18,32,False
2018-02-25,86,False
2018-03-04,79,False
2018-03-11,72,False
2018-03-18,40,False
2018-03-25,51,False
2018-04-01,53,False
2018-04-08,97,False
2018-04-15,50,False
2018-04-22,34,False
2018-04-29,58,False
2018-05-06,73,False
2018-05-13,41,False
2018-05-20,24,False
2018-05-27,50,False
2018-06-03,41,False
2018-06-10,47,False
2018-06-17,33,False
2018-06-24,74,False
2018-07-01,41,False
2018-07-08,24,False
2018-07-15,25,False
2018-07-22,33,False
2018-07-29,34,False
2018-08-05,35,False
2018-08-12,37,False
2018-08-19,45,False
2018-08-26,59,False
2018-09-02,48,False
2018-09-09,80,False
2018-09-16,24,False
2018-09-23,48,False
2018-09-30,48,False
2018-10-07,16,False
2018-10-14,17,False
2018-10-21,56,False
2018-10-28,40,False
2018-11-04,47,False
2018-11-11,16,False
2018-11-18,32,False
2018-11-25,33,False
2018-12-02,16,False
2018-12-09,16,False
2018-12-16,0,False
2018-12-23,29,False
2018-12-30,18,False
2019-01-06,25,False
2019-01-13,40,False
2019-01-20,100,False
2019-01-27,45,False
2019-02-03,38,False
2019-02-10,39,False
2019-02-17,32,False
2019-02-24,55,False
2019-03-03,66,False
2019-03-10,80,False
2019-03-17,74,False
2019-03-24,33,False
2019-03-31,40,False
2019-04-07,64,False
2019-04-14,58,False
2019-04-21,17,False
2019-04-28,40,False
2019-05-05,46,False
2019-05-12,78,False
2019-05-19,85,False
2019-05-26,22,False
2019-06-02,64,False
2019-06-09,32,False
2019-06-16,32,False
2019-06-23,58,False
2019-06-30,16,False
2019-07-07,47,False
2019-07-14,82,False
2019-07-21,50,False
2019-07-28,67,False
2019-08-04,52,False
2019-08-11,37,False
2019-08-18,26,False
2019-08-25,39,False
2019-09-01,59,False
2019-09-08,54,False
2019-09-15,60,False
2019-09-22,59,False
2019-09-29,53,False
2019-10-06,61,False
2019-10-13,15,False
2019-10-20,22,False
2019-10-27,37,False
2019-11-03,43,False
2019-11-10,22,False
2019-11-17,36,False
2019-11-24,0,False
2019-12-01,15,False
2019-12-08,0,False
2019-12-15,30,False
2019-12-22,26,False
2019-12-29,67,False
2020-01-05,37,False
2020-01-12,70,False
2020-01-19,64,False
2020-01-26,63,False
2020-02-02,69,False
2020-02-09,57,False
2020-02-16,28,False
2020-02-23,20,False
2020-03-01,33,False
2020-03-08,26,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,12,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,36,False
2020-04-26,0,True
