date,Heizungsanlage Gas,isPartial
2018-01-07,26,False
2018-01-14,78,False
2018-01-21,39,False
2018-01-28,26,False
2018-02-04,35,False
2018-02-11,26,False
2018-02-18,26,False
2018-02-25,61,False
2018-03-04,52,False
2018-03-11,39,False
2018-03-18,26,False
2018-03-25,37,False
2018-04-01,0,False
2018-04-08,54,False
2018-04-15,28,False
2018-04-22,35,False
2018-04-29,27,False
2018-05-06,28,False
2018-05-13,26,False
2018-05-20,28,False
2018-05-27,27,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,39,False
2018-06-24,27,False
2018-07-01,80,False
2018-07-08,26,False
2018-07-15,81,False
2018-07-22,0,False
2018-07-29,27,False
2018-08-05,27,False
2018-08-12,69,False
2018-08-19,27,False
2018-08-26,27,False
2018-09-02,67,False
2018-09-09,40,False
2018-09-16,66,False
2018-09-23,27,False
2018-09-30,35,False
2018-10-07,79,False
2018-10-14,26,False
2018-10-21,26,False
2018-10-28,26,False
2018-11-04,38,False
2018-11-11,34,False
2018-11-18,25,False
2018-11-25,0,False
2018-12-02,25,False
2018-12-09,26,False
2018-12-16,0,False
2018-12-23,30,False
2018-12-30,27,False
2019-01-06,25,False
2019-01-13,60,False
2019-01-20,0,False
2019-01-27,24,False
2019-02-03,25,False
2019-02-10,25,False
2019-02-17,25,False
2019-02-24,26,False
2019-03-03,24,False
2019-03-10,49,False
2019-03-17,38,False
2019-03-24,50,False
2019-03-31,38,False
2019-04-07,25,False
2019-04-14,27,False
2019-04-21,27,False
2019-04-28,25,False
2019-05-05,24,False
2019-05-12,100,False
2019-05-19,0,False
2019-05-26,25,False
2019-06-02,25,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,25,False
2019-06-30,76,False
2019-07-07,37,False
2019-07-14,26,False
2019-07-21,27,False
2019-07-28,26,False
2019-08-04,53,False
2019-08-11,51,False
2019-08-18,26,False
2019-08-25,25,False
2019-09-01,25,False
2019-09-08,67,False
2019-09-15,25,False
2019-09-22,24,False
2019-09-29,24,False
2019-10-06,32,False
2019-10-13,24,False
2019-10-20,24,False
2019-10-27,0,False
2019-11-03,30,False
2019-11-10,35,False
2019-11-17,70,False
2019-11-24,23,False
2019-12-01,0,False
2019-12-08,23,False
2019-12-15,24,False
2019-12-22,27,False
2019-12-29,0,False
2020-01-05,56,False
2020-01-12,54,False
2020-01-19,33,False
2020-01-26,22,False
2020-02-02,33,False
2020-02-09,22,False
2020-02-16,45,False
2020-02-23,36,False
2020-03-01,29,False
2020-03-08,27,False
2020-03-15,0,False
2020-03-22,20,False
2020-03-29,20,False
2020-04-05,22,False
2020-04-12,31,False
2020-04-19,20,False
2020-04-26,20,False
2020-05-03,20,False
2020-05-10,20,False
