date,Sonnenschutz,isPartial
2018-01-07,14,False
2018-01-14,28,False
2018-01-21,43,False
2018-01-28,14,False
2018-02-04,14,False
2018-02-11,13,False
2018-02-18,14,False
2018-02-25,40,False
2018-03-04,28,False
2018-03-11,21,False
2018-03-18,22,False
2018-03-25,30,False
2018-04-01,50,False
2018-04-08,35,False
2018-04-15,73,False
2018-04-22,27,False
2018-04-29,37,False
2018-05-06,65,False
2018-05-13,44,False
2018-05-20,18,False
2018-05-27,27,False
2018-06-03,44,False
2018-06-10,33,False
2018-06-17,17,False
2018-06-24,16,False
2018-07-01,16,False
2018-07-08,49,False
2018-07-15,33,False
2018-07-22,64,False
2018-07-29,63,False
2018-08-05,53,False
2018-08-12,16,False
2018-08-19,40,False
2018-08-26,16,False
2018-09-02,0,False
2018-09-09,26,False
2018-09-16,34,False
2018-09-23,17,False
2018-09-30,17,False
2018-10-07,18,False
2018-10-14,36,False
2018-10-21,18,False
2018-10-28,18,False
2018-11-04,35,False
2018-11-11,36,False
2018-11-18,17,False
2018-11-25,17,False
2018-12-02,17,False
2018-12-09,25,False
2018-12-16,17,False
2018-12-23,0,False
2018-12-30,26,False
2019-01-06,14,False
2019-01-13,34,False
2019-01-20,14,False
2019-01-27,27,False
2019-02-03,27,False
2019-02-10,41,False
2019-02-17,40,False
2019-02-24,13,False
2019-03-03,26,False
2019-03-10,66,False
2019-03-17,15,False
2019-03-24,31,False
2019-03-31,32,False
2019-04-07,31,False
2019-04-14,17,False
2019-04-21,83,False
2019-04-28,59,False
2019-05-05,25,False
2019-05-12,41,False
2019-05-19,16,False
2019-05-26,32,False
2019-06-02,73,False
2019-06-09,47,False
2019-06-16,31,False
2019-06-23,40,False
2019-06-30,100,False
2019-07-07,15,False
2019-07-14,23,False
2019-07-21,37,False
2019-07-28,21,False
2019-08-04,29,False
2019-08-11,35,False
2019-08-18,28,False
2019-08-25,30,False
2019-09-01,14,False
2019-09-08,43,False
2019-09-15,53,False
2019-09-22,22,False
2019-09-29,41,False
2019-10-06,47,False
2019-10-13,28,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,14,False
2019-11-17,0,False
2019-11-24,20,False
2019-12-01,20,False
2019-12-08,13,False
2019-12-15,26,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,11,False
2020-01-12,11,False
2020-01-19,11,False
2020-01-26,16,False
2020-02-02,31,False
2020-02-09,31,False
2020-02-16,41,False
2020-02-23,10,False
2020-03-01,31,False
2020-03-08,20,False
2020-03-15,18,False
2020-03-22,49,False
2020-03-29,17,False
2020-04-05,91,False
2020-04-12,25,False
2020-04-19,48,False
2020-04-26,36,False
2020-05-03,58,False
2020-05-10,37,False
2020-05-17,27,False
2020-05-24,26,False
2020-05-31,45,False
2020-06-07,25,False
2020-06-14,35,False
2020-06-21,25,False
2020-06-28,36,False
2020-07-05,48,False
