date,Rollo,isPartial
2018-01-07,43,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,14,False
2018-02-11,13,False
2018-02-18,13,False
2018-02-25,13,False
2018-03-04,28,False
2018-03-11,14,False
2018-03-18,22,False
2018-03-25,31,False
2018-04-01,17,False
2018-04-08,17,False
2018-04-15,37,False
2018-04-22,18,False
2018-04-29,19,False
2018-05-06,28,False
2018-05-13,35,False
2018-05-20,18,False
2018-05-27,18,False
2018-06-03,17,False
2018-06-10,0,False
2018-06-17,17,False
2018-06-24,16,False
2018-07-01,32,False
2018-07-08,16,False
2018-07-15,49,False
2018-07-22,32,False
2018-07-29,23,False
2018-08-05,15,False
2018-08-12,16,False
2018-08-19,16,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,17,False
2018-09-16,17,False
2018-09-23,17,False
2018-09-30,17,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,36,False
2018-10-28,70,False
2018-11-04,35,False
2018-11-11,18,False
2018-11-18,35,False
2018-11-25,0,False
2018-12-02,17,False
2018-12-09,33,False
2018-12-16,0,False
2018-12-23,23,False
2018-12-30,0,False
2019-01-06,27,False
2019-01-13,27,False
2019-01-20,14,False
2019-01-27,27,False
2019-02-03,13,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,33,False
2019-03-03,13,False
2019-03-10,13,False
2019-03-17,0,False
2019-03-24,15,False
2019-03-31,49,False
2019-04-07,15,False
2019-04-14,0,False
2019-04-21,100,False
2019-04-28,17,False
2019-05-05,16,False
2019-05-12,41,False
2019-05-19,40,False
2019-05-26,16,False
2019-06-02,16,False
2019-06-09,15,False
2019-06-16,31,False
2019-06-23,16,False
2019-06-30,46,False
2019-07-07,15,False
2019-07-14,16,False
2019-07-21,37,False
2019-07-28,14,False
2019-08-04,14,False
2019-08-11,21,False
2019-08-18,21,False
2019-08-25,15,False
2019-09-01,15,False
2019-09-08,14,False
2019-09-15,30,False
2019-09-22,15,False
2019-09-29,13,False
2019-10-06,13,False
2019-10-13,28,False
2019-10-20,28,False
2019-10-27,28,False
2019-11-03,0,False
2019-11-10,13,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,26,False
2019-12-15,13,False
2019-12-22,0,False
2019-12-29,22,False
2020-01-05,22,False
2020-01-12,0,False
2020-01-19,22,False
2020-01-26,16,False
2020-02-02,30,False
2020-02-09,10,False
2020-02-16,10,False
2020-02-23,9,False
2020-03-01,10,False
2020-03-08,15,False
2020-03-15,23,False
2020-03-22,16,False
2020-03-29,46,False
2020-04-05,45,False
2020-04-12,12,False
2020-04-19,24,False
2020-04-26,18,False
2020-05-03,32,False
2020-05-10,31,False
2020-05-17,34,False
2020-05-24,45,False
2020-05-31,13,False
2020-06-07,19,False
2020-06-14,12,False
2020-06-21,25,False
2020-06-28,0,False
2020-07-05,12,False
