date,Wandfliesen,isPartial
2018-01-07,76,False
2018-01-14,29,False
2018-01-21,28,False
2018-01-28,37,False
2018-02-04,60,False
2018-02-11,48,False
2018-02-18,57,False
2018-02-25,57,False
2018-03-04,55,False
2018-03-11,28,False
2018-03-18,56,False
2018-03-25,0,False
2018-04-01,32,False
2018-04-08,60,False
2018-04-15,0,False
2018-04-22,29,False
2018-04-29,30,False
2018-05-06,62,False
2018-05-13,30,False
2018-05-20,0,False
2018-05-27,29,False
2018-06-03,58,False
2018-06-10,42,False
2018-06-17,38,False
2018-06-24,0,False
2018-07-01,30,False
2018-07-08,41,False
2018-07-15,32,False
2018-07-22,51,False
2018-07-29,34,False
2018-08-05,49,False
2018-08-12,33,False
2018-08-19,31,False
2018-08-26,30,False
2018-09-02,90,False
2018-09-09,0,False
2018-09-16,59,False
2018-09-23,30,False
2018-09-30,23,False
2018-10-07,66,False
2018-10-14,0,False
2018-10-21,31,False
2018-10-28,0,False
2018-11-04,28,False
2018-11-11,0,False
2018-11-18,57,False
2018-11-25,100,False
2018-12-02,29,False
2018-12-09,29,False
2018-12-16,31,False
2018-12-23,40,False
2018-12-30,33,False
2019-01-06,27,False
2019-01-13,32,False
2019-01-20,43,False
2019-01-27,33,False
2019-02-03,58,False
2019-02-10,42,False
2019-02-17,47,False
2019-02-24,56,False
2019-03-03,46,False
2019-03-10,28,False
2019-03-17,43,False
2019-03-24,38,False
2019-03-31,43,False
2019-04-07,38,False
2019-04-14,97,False
2019-04-21,49,False
2019-04-28,47,False
2019-05-05,56,False
2019-05-12,28,False
2019-05-19,38,False
2019-05-26,29,False
2019-06-02,74,False
2019-06-09,0,False
2019-06-16,43,False
2019-06-23,60,False
2019-06-30,29,False
2019-07-07,39,False
2019-07-14,75,False
2019-07-21,31,False
2019-07-28,30,False
2019-08-04,59,False
2019-08-11,29,False
2019-08-18,29,False
2019-08-25,27,False
2019-09-01,27,False
2019-09-08,0,False
2019-09-15,46,False
2019-09-22,28,False
2019-09-29,38,False
2019-10-06,28,False
2019-10-13,28,False
2019-10-20,55,False
2019-10-27,27,False
2019-11-03,47,False
2019-11-10,45,False
2019-11-17,27,False
2019-11-24,52,False
2019-12-01,49,False
2019-12-08,27,False
2019-12-15,85,False
2019-12-22,54,False
2019-12-29,58,False
2020-01-05,33,False
2020-01-12,43,False
2020-01-19,65,False
2020-01-26,26,False
2020-02-02,27,False
2020-02-09,39,False
2020-02-16,51,False
2020-02-23,41,False
2020-03-01,40,False
2020-03-08,23,False
2020-03-15,24,False
2020-03-22,25,False
2020-03-29,24,False
2020-04-05,50,False
2020-04-12,40,False
2020-04-19,51,False
2020-04-26,49,False
2020-05-03,23,False
2020-05-10,50,False
