date,Wandfliesen,isPartial
2018-01-07,48,False
2018-01-14,0,False
2018-01-21,24,False
2018-01-28,36,False
2018-02-04,25,False
2018-02-11,25,False
2018-02-18,33,False
2018-02-25,48,False
2018-03-04,49,False
2018-03-11,36,False
2018-03-18,24,False
2018-03-25,26,False
2018-04-01,52,False
2018-04-08,52,False
2018-04-15,26,False
2018-04-22,25,False
2018-04-29,25,False
2018-05-06,26,False
2018-05-13,25,False
2018-05-20,25,False
2018-05-27,25,False
2018-06-03,25,False
2018-06-10,24,False
2018-06-17,25,False
2018-06-24,68,False
2018-07-01,0,False
2018-07-08,26,False
2018-07-15,39,False
2018-07-22,26,False
2018-07-29,25,False
2018-08-05,24,False
2018-08-12,24,False
2018-08-19,49,False
2018-08-26,25,False
2018-09-02,25,False
2018-09-09,25,False
2018-09-16,100,False
2018-09-23,25,False
2018-09-30,52,False
2018-10-07,34,False
2018-10-14,37,False
2018-10-21,32,False
2018-10-28,36,False
2018-11-04,23,False
2018-11-11,24,False
2018-11-18,35,False
2018-11-25,31,False
2018-12-02,35,False
2018-12-09,24,False
2018-12-16,0,False
2018-12-23,53,False
2018-12-30,0,False
2019-01-06,34,False
2019-01-13,22,False
2019-01-20,34,False
2019-01-27,38,False
2019-02-03,23,False
2019-02-10,31,False
2019-02-17,0,False
2019-02-24,62,False
2019-03-03,23,False
2019-03-10,23,False
2019-03-17,24,False
2019-03-24,24,False
2019-03-31,48,False
2019-04-07,47,False
2019-04-14,25,False
2019-04-21,41,False
2019-04-28,40,False
2019-05-05,56,False
2019-05-12,24,False
2019-05-19,23,False
2019-05-26,23,False
2019-06-02,31,False
2019-06-09,47,False
2019-06-16,0,False
2019-06-23,24,False
2019-06-30,36,False
2019-07-07,24,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,25,False
2019-08-04,24,False
2019-08-11,30,False
2019-08-18,23,False
2019-08-25,23,False
2019-09-01,23,False
2019-09-08,39,False
2019-09-15,39,False
2019-09-22,34,False
2019-09-29,35,False
2019-10-06,30,False
2019-10-13,33,False
2019-10-20,29,False
2019-10-27,21,False
2019-11-03,21,False
2019-11-10,36,False
2019-11-17,32,False
2019-11-24,21,False
2019-12-01,43,False
2019-12-08,36,False
2019-12-15,22,False
2019-12-22,24,False
2019-12-29,34,False
2020-01-05,41,False
2020-01-12,33,False
2020-01-19,41,False
2020-01-26,51,False
2020-02-02,40,False
2020-02-09,20,False
2020-02-16,21,False
2020-02-23,20,False
2020-03-01,20,False
2020-03-08,19,False
2020-03-15,53,False
2020-03-22,17,False
2020-03-29,34,False
2020-04-05,38,False
2020-04-12,42,False
2020-04-19,18,False
2020-04-26,52,False
2020-05-03,54,False
2020-05-10,27,False
