date,Possibilities,isPartial
2018-01-07,33,False
2018-01-14,32,False
2018-01-21,44,False
2018-01-28,32,False
2018-02-04,34,False
2018-02-11,34,False
2018-02-18,66,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,50,False
2018-03-25,35,False
2018-04-01,35,False
2018-04-08,33,False
2018-04-15,45,False
2018-04-22,49,False
2018-04-29,34,False
2018-05-06,52,False
2018-05-13,65,False
2018-05-20,70,False
2018-05-27,33,False
2018-06-03,33,False
2018-06-10,64,False
2018-06-17,32,False
2018-06-24,55,False
2018-07-01,99,False
2018-07-08,32,False
2018-07-15,34,False
2018-07-22,86,False
2018-07-29,70,False
2018-08-05,35,False
2018-08-12,35,False
2018-08-19,51,False
2018-08-26,67,False
2018-09-02,44,False
2018-09-09,100,False
2018-09-16,44,False
2018-09-23,0,False
2018-09-30,51,False
2018-10-07,33,False
2018-10-14,68,False
2018-10-21,34,False
2018-10-28,33,False
2018-11-04,48,False
2018-11-11,32,False
2018-11-18,31,False
2018-11-25,32,False
2018-12-02,32,False
2018-12-09,32,False
2018-12-16,33,False
2018-12-23,37,False
2018-12-30,35,False
2019-01-06,31,False
2019-01-13,60,False
2019-01-20,45,False
2019-01-27,45,False
2019-02-03,30,False
2019-02-10,0,False
2019-02-17,31,False
2019-02-24,0,False
2019-03-03,47,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,32,False
2019-03-31,46,False
2019-04-07,32,False
2019-04-14,34,False
2019-04-21,34,False
2019-04-28,32,False
2019-05-05,30,False
2019-05-12,62,False
2019-05-19,0,False
2019-05-26,32,False
2019-06-02,0,False
2019-06-09,42,False
2019-06-16,48,False
2019-06-23,63,False
2019-06-30,47,False
2019-07-07,31,False
2019-07-14,33,False
2019-07-21,35,False
2019-07-28,52,False
2019-08-04,52,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,31,False
2019-09-01,63,False
2019-09-08,32,False
2019-09-15,32,False
2019-09-22,46,False
2019-09-29,31,False
2019-10-06,30,False
2019-10-13,61,False
2019-10-20,31,False
2019-10-27,60,False
2019-11-03,29,False
2019-11-10,29,False
2019-11-17,57,False
2019-11-24,28,False
2019-12-01,58,False
2019-12-08,0,False
2019-12-15,88,False
2019-12-22,0,False
2019-12-29,32,False
2020-01-05,71,False
2020-01-12,45,False
2020-01-19,42,False
2020-01-26,55,False
2020-02-02,55,False
2020-02-09,27,False
2020-02-16,42,False
2020-02-23,0,False
2020-03-01,27,False
2020-03-08,25,False
2020-03-15,25,False
2020-03-22,50,False
2020-03-29,37,False
2020-04-05,36,False
2020-04-12,52,False
2020-04-19,51,False
2020-04-26,25,False
2020-05-03,25,False
2020-05-10,0,False
2020-05-17,26,False
2020-05-24,26,False
2020-05-31,25,False
