date,Gasinstallateur,isPartial
2018-01-07,32,False
2018-01-14,0,False
2018-01-21,32,False
2018-01-28,32,False
2018-02-04,33,False
2018-02-11,100,False
2018-02-18,33,False
2018-02-25,33,False
2018-03-04,32,False
2018-03-11,66,False
2018-03-18,66,False
2018-03-25,35,False
2018-04-01,35,False
2018-04-08,34,False
2018-04-15,70,False
2018-04-22,33,False
2018-04-29,35,False
2018-05-06,70,False
2018-05-13,33,False
2018-05-20,0,False
2018-05-27,51,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,32,False
2018-06-24,34,False
2018-07-01,66,False
2018-07-08,50,False
2018-07-15,69,False
2018-07-22,34,False
2018-07-29,34,False
2018-08-05,45,False
2018-08-12,35,False
2018-08-19,34,False
2018-08-26,51,False
2018-09-02,0,False
2018-09-09,50,False
2018-09-16,0,False
2018-09-23,33,False
2018-09-30,33,False
2018-10-07,33,False
2018-10-14,50,False
2018-10-21,33,False
2018-10-28,65,False
2018-11-04,0,False
2018-11-11,33,False
2018-11-18,62,False
2018-11-25,32,False
2018-12-02,32,False
2018-12-09,32,False
2018-12-16,50,False
2018-12-23,0,False
2018-12-30,68,False
2019-01-06,31,False
2019-01-13,30,False
2019-01-20,30,False
2019-01-27,30,False
2019-02-03,62,False
2019-02-10,31,False
2019-02-17,31,False
2019-02-24,48,False
2019-03-03,31,False
2019-03-10,31,False
2019-03-17,32,False
2019-03-24,32,False
2019-03-31,0,False
2019-04-07,32,False
2019-04-14,69,False
2019-04-21,33,False
2019-04-28,78,False
2019-05-05,31,False
2019-05-12,32,False
2019-05-19,47,False
2019-05-26,32,False
2019-06-02,63,False
2019-06-09,48,False
2019-06-16,32,False
2019-06-23,48,False
2019-06-30,0,False
2019-07-07,31,False
2019-07-14,33,False
2019-07-21,35,False
2019-07-28,0,False
2019-08-04,34,False
2019-08-11,64,False
2019-08-18,65,False
2019-08-25,32,False
2019-09-01,31,False
2019-09-08,63,False
2019-09-15,32,False
2019-09-22,0,False
2019-09-29,51,False
2019-10-06,31,False
2019-10-13,30,False
2019-10-20,30,False
2019-10-27,30,False
2019-11-03,29,False
2019-11-10,44,False
2019-11-17,29,False
2019-11-24,48,False
2019-12-01,30,False
2019-12-08,44,False
2019-12-15,30,False
2019-12-22,0,False
2019-12-29,32,False
2020-01-05,43,False
2020-01-12,41,False
2020-01-19,28,False
2020-01-26,27,False
2020-02-02,56,False
2020-02-09,54,False
2020-02-16,0,False
2020-02-23,37,False
2020-03-01,27,False
2020-03-08,26,False
2020-03-15,25,False
2020-03-22,25,False
2020-03-29,33,False
2020-04-05,28,False
2020-04-12,53,False
2020-04-19,0,False
2020-04-26,25,False
2020-05-03,75,False
2020-05-10,59,False
