date,peinados novias,isPartial
2018-01-07,41,False
2018-01-14,51,False
2018-01-21,61,False
2018-01-28,82,False
2018-02-04,30,False
2018-02-11,31,False
2018-02-18,52,False
2018-02-25,69,False
2018-03-04,40,False
2018-03-11,80,False
2018-03-18,51,False
2018-03-25,57,False
2018-04-01,41,False
2018-04-08,68,False
2018-04-15,81,False
2018-04-22,90,False
2018-04-29,41,False
2018-05-06,59,False
2018-05-13,72,False
2018-05-20,60,False
2018-05-27,40,False
2018-06-03,49,False
2018-06-10,29,False
2018-06-17,63,False
2018-06-24,42,False
2018-07-01,31,False
2018-07-08,30,False
2018-07-15,32,False
2018-07-22,32,False
2018-07-29,32,False
2018-08-05,53,False
2018-08-12,55,False
2018-08-19,66,False
2018-08-26,73,False
2018-09-02,70,False
2018-09-09,20,False
2018-09-16,50,False
2018-09-23,39,False
2018-09-30,50,False
2018-10-07,61,False
2018-10-14,39,False
2018-10-21,41,False
2018-10-28,41,False
2018-11-04,67,False
2018-11-11,68,False
2018-11-18,47,False
2018-11-25,39,False
2018-12-02,21,False
2018-12-09,20,False
2018-12-16,0,False
2018-12-23,47,False
2018-12-30,45,False
2019-01-06,41,False
2019-01-13,19,False
2019-01-20,37,False
2019-01-27,66,False
2019-02-03,59,False
2019-02-10,20,False
2019-02-17,30,False
2019-02-24,59,False
2019-03-03,0,False
2019-03-10,41,False
2019-03-17,30,False
2019-03-24,40,False
2019-03-31,29,False
2019-04-07,19,False
2019-04-14,20,False
2019-04-21,29,False
2019-04-28,19,False
2019-05-05,19,False
2019-05-12,49,False
2019-05-19,57,False
2019-05-26,28,False
2019-06-02,84,False
2019-06-09,37,False
2019-06-16,49,False
2019-06-23,100,False
2019-06-30,30,False
2019-07-07,49,False
2019-07-14,40,False
2019-07-21,30,False
2019-07-28,31,False
2019-08-04,42,False
2019-08-11,21,False
2019-08-18,62,False
2019-08-25,58,False
2019-09-01,19,False
2019-09-08,37,False
2019-09-15,45,False
2019-09-22,36,False
2019-09-29,27,False
2019-10-06,36,False
2019-10-13,35,False
2019-10-20,36,False
2019-10-27,18,False
2019-11-03,44,False
2019-11-10,35,False
2019-11-17,35,False
2019-11-24,34,False
2019-12-01,0,False
2019-12-08,19,False
2019-12-15,18,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,25,False
2020-01-19,41,False
2020-01-26,60,False
2020-02-02,25,False
2020-02-09,68,False
2020-02-16,25,False
2020-02-23,25,False
2020-03-01,57,False
2020-03-08,16,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,15,False
2020-04-05,0,False
2020-04-12,26,True
