date,peinados novias,isPartial
2018-01-07,24,False
2018-01-14,24,False
2018-01-21,24,False
2018-01-28,24,False
2018-02-04,0,False
2018-02-11,25,False
2018-02-18,0,False
2018-02-25,24,False
2018-03-04,0,False
2018-03-11,24,False
2018-03-18,100,False
2018-03-25,32,False
2018-04-01,24,False
2018-04-08,47,False
2018-04-15,24,False
2018-04-22,47,False
2018-04-29,41,False
2018-05-06,0,False
2018-05-13,25,False
2018-05-20,0,False
2018-05-27,46,False
2018-06-03,24,False
2018-06-10,24,False
2018-06-17,25,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,27,False
2018-07-15,29,False
2018-07-22,59,False
2018-07-29,31,False
2018-08-05,66,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,29,False
2018-09-02,25,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,25,False
2018-10-14,0,False
2018-10-21,23,False
2018-10-28,0,False
2018-11-04,31,False
2018-11-11,0,False
2018-11-18,44,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,74,False
2019-01-13,23,False
2019-01-20,43,False
2019-01-27,30,False
2019-02-03,23,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,23,False
2019-03-10,24,False
2019-03-17,0,False
2019-03-24,72,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,23,False
2019-04-28,0,False
2019-05-05,21,False
2019-05-12,0,False
2019-05-19,23,False
2019-05-26,33,False
2019-06-02,43,False
2019-06-09,21,False
2019-06-16,71,False
2019-06-23,24,False
2019-06-30,0,False
2019-07-07,47,False
2019-07-14,0,False
2019-07-21,26,False
2019-07-28,30,False
2019-08-04,32,False
2019-08-11,0,False
2019-08-18,32,False
2019-08-25,27,False
2019-09-01,0,False
2019-09-08,22,False
2019-09-15,32,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,21,False
2019-10-20,21,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,21,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,29,False
2020-01-19,0,False
2020-01-26,20,False
2020-02-02,20,False
2020-02-09,20,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,29,False
2020-03-08,0,False
2020-03-15,20,False
2020-03-22,0,False
2020-03-29,19,False
2020-04-05,0,False
2020-04-12,0,True
