date,Laminat verlegen lassen,isPartial
2018-01-07,0,False
2018-01-14,46,False
2018-01-21,46,False
2018-01-28,46,False
2018-02-04,94,False
2018-02-11,47,False
2018-02-18,0,False
2018-02-25,47,False
2018-03-04,47,False
2018-03-11,47,False
2018-03-18,94,False
2018-03-25,100,False
2018-04-01,50,False
2018-04-08,72,False
2018-04-15,49,False
2018-04-22,0,False
2018-04-29,74,False
2018-05-06,50,False
2018-05-13,0,False
2018-05-20,50,False
2018-05-27,0,False
2018-06-03,48,False
2018-06-10,46,False
2018-06-17,0,False
2018-06-24,71,False
2018-07-01,71,False
2018-07-08,47,False
2018-07-15,73,False
2018-07-22,48,False
2018-07-29,49,False
2018-08-05,72,False
2018-08-12,49,False
2018-08-19,0,False
2018-08-26,48,False
2018-09-02,48,False
2018-09-09,47,False
2018-09-16,47,False
2018-09-23,47,False
2018-09-30,79,False
2018-10-07,94,False
2018-10-14,47,False
2018-10-21,46,False
2018-10-28,46,False
2018-11-04,45,False
2018-11-11,46,False
2018-11-18,89,False
2018-11-25,0,False
2018-12-02,68,False
2018-12-09,46,False
2018-12-16,47,False
2018-12-23,54,False
2018-12-30,73,False
2019-01-06,43,False
2019-01-13,86,False
2019-01-20,43,False
2019-01-27,57,False
2019-02-03,66,False
2019-02-10,67,False
2019-02-17,44,False
2019-02-24,46,False
2019-03-03,87,False
2019-03-10,65,False
2019-03-17,91,False
2019-03-24,67,False
2019-03-31,0,False
2019-04-07,44,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,65,False
2019-05-12,45,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,44,False
2019-06-09,0,False
2019-06-16,46,False
2019-06-23,45,False
2019-06-30,45,False
2019-07-07,45,False
2019-07-14,0,False
2019-07-21,98,False
2019-07-28,95,False
2019-08-04,48,False
2019-08-11,0,False
2019-08-18,46,False
2019-08-25,45,False
2019-09-01,59,False
2019-09-08,45,False
2019-09-15,75,False
2019-09-22,72,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,86,False
2019-10-20,43,False
2019-10-27,56,False
2019-11-03,41,False
2019-11-10,55,False
2019-11-17,41,False
2019-11-24,41,False
2019-12-01,69,False
2019-12-08,83,False
2019-12-15,42,False
2019-12-22,48,False
2019-12-29,68,False
2020-01-05,40,False
2020-01-12,57,False
2020-01-19,0,False
2020-01-26,78,False
2020-02-02,59,False
2020-02-09,38,False
2020-02-16,80,False
2020-02-23,58,False
2020-03-01,77,False
2020-03-08,55,False
2020-03-15,36,False
2020-03-22,35,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,37,False
2020-04-19,36,False
2020-04-26,47,False
2020-05-03,36,False
2020-05-10,72,False
