date,climatiseur mural,isPartial
2018-01-07,3,False
2018-01-14,5,False
2018-01-21,3,False
2018-01-28,0,False
2018-02-04,9,False
2018-02-11,3,False
2018-02-18,5,False
2018-02-25,3,False
2018-03-04,3,False
2018-03-11,6,False
2018-03-18,6,False
2018-03-25,6,False
2018-04-01,7,False
2018-04-08,3,False
2018-04-15,7,False
2018-04-22,12,False
2018-04-29,8,False
2018-05-06,7,False
2018-05-13,4,False
2018-05-20,8,False
2018-05-27,21,False
2018-06-03,11,False
2018-06-10,5,False
2018-06-17,19,False
2018-06-24,23,False
2018-07-01,47,False
2018-07-08,31,False
2018-07-15,10,False
2018-07-22,33,False
2018-07-29,78,False
2018-08-05,68,False
2018-08-12,14,False
2018-08-19,7,False
2018-08-26,3,False
2018-09-02,5,False
2018-09-09,8,False
2018-09-16,5,False
2018-09-23,11,False
2018-09-30,4,False
2018-10-07,13,False
2018-10-14,3,False
2018-10-21,3,False
2018-10-28,8,False
2018-11-04,13,False
2018-11-11,6,False
2018-11-18,3,False
2018-11-25,6,False
2018-12-02,3,False
2018-12-09,5,False
2018-12-16,3,False
2018-12-23,4,False
2018-12-30,3,False
2019-01-06,9,False
2019-01-13,4,False
2019-01-20,5,False
2019-01-27,7,False
2019-02-03,5,False
2019-02-10,12,False
2019-02-17,7,False
2019-02-24,12,False
2019-03-03,6,False
2019-03-10,9,False
2019-03-17,5,False
2019-03-24,9,False
2019-03-31,5,False
2019-04-07,4,False
2019-04-14,7,False
2019-04-21,5,False
2019-04-28,5,False
2019-05-05,6,False
2019-05-12,10,False
2019-05-19,9,False
2019-05-26,8,False
2019-06-02,20,False
2019-06-09,12,False
2019-06-16,17,False
2019-06-23,100,False
2019-06-30,39,False
2019-07-07,21,False
2019-07-14,10,False
2019-07-21,49,False
2019-07-28,11,False
2019-08-04,9,False
2019-08-11,6,False
2019-08-18,8,False
2019-08-25,14,False
2019-09-01,5,False
2019-09-08,11,False
2019-09-15,12,False
2019-09-22,6,False
2019-09-29,7,False
2019-10-06,4,False
2019-10-13,6,False
2019-10-20,6,False
2019-10-27,6,False
2019-11-03,7,False
2019-11-10,6,False
2019-11-17,9,False
2019-11-24,7,False
2019-12-01,7,False
2019-12-08,7,False
2019-12-15,6,False
2019-12-22,5,False
2019-12-29,3,False
2020-01-05,5,False
2020-01-12,4,False
2020-01-19,9,False
2020-01-26,4,False
2020-02-02,10,False
2020-02-09,9,False
2020-02-16,5,False
2020-02-23,4,False
2020-03-01,10,False
2020-03-08,7,False
2020-03-15,5,False
2020-03-22,2,False
2020-03-29,5,False
2020-04-05,10,False
2020-04-12,7,False
2020-04-19,11,False
2020-04-26,7,False
2020-05-03,11,False
2020-05-10,10,False
2020-05-17,10,True
