date,isolieren,isPartial
2018-01-07,33,False
2018-01-14,32,False
2018-01-21,48,False
2018-01-28,65,False
2018-02-04,49,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,32,False
2018-03-04,32,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,51,False
2018-04-01,53,False
2018-04-08,33,False
2018-04-15,33,False
2018-04-22,51,False
2018-04-29,68,False
2018-05-06,0,False
2018-05-13,64,False
2018-05-20,34,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,32,False
2018-06-17,0,False
2018-06-24,32,False
2018-07-01,31,False
2018-07-08,0,False
2018-07-15,35,False
2018-07-22,0,False
2018-07-29,39,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,62,False
2018-09-02,0,False
2018-09-09,31,False
2018-09-16,46,False
2018-09-23,32,False
2018-09-30,48,False
2018-10-07,34,False
2018-10-14,100,False
2018-10-21,0,False
2018-10-28,58,False
2018-11-04,28,False
2018-11-11,62,False
2018-11-18,63,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,33,False
2018-12-16,0,False
2018-12-23,44,False
2018-12-30,72,False
2019-01-06,29,False
2019-01-13,0,False
2019-01-20,30,False
2019-01-27,28,False
2019-02-03,32,False
2019-02-10,34,False
2019-02-17,33,False
2019-02-24,31,False
2019-03-03,28,False
2019-03-10,32,False
2019-03-17,65,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,76,False
2019-04-14,0,False
2019-04-21,35,False
2019-04-28,42,False
2019-05-05,0,False
2019-05-12,31,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,32,False
2019-06-16,49,False
2019-06-23,34,False
2019-06-30,63,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,33,False
2019-08-18,32,False
2019-08-25,0,False
2019-09-01,28,False
2019-09-08,62,False
2019-09-15,0,False
2019-09-22,60,False
2019-09-29,61,False
2019-10-06,48,False
2019-10-13,63,False
2019-10-20,30,False
2019-10-27,45,False
2019-11-03,59,False
2019-11-10,31,False
2019-11-17,0,False
2019-11-24,44,False
2019-12-01,30,False
2019-12-08,89,False
2019-12-15,31,False
2019-12-22,78,False
2019-12-29,0,False
2020-01-05,44,False
2020-01-12,57,False
2020-01-19,88,False
2020-01-26,29,False
2020-02-02,29,False
2020-02-09,0,False
2020-02-16,45,False
2020-02-23,55,False
2020-03-01,28,False
2020-03-08,27,False
2020-03-15,28,False
2020-03-22,27,False
2020-03-29,0,False
2020-04-05,46,False
2020-04-12,31,False
2020-04-19,29,False
2020-04-26,27,False
2020-05-03,28,False
2020-05-10,27,False
2020-05-17,29,False
2020-05-24,28,False
2020-05-31,41,False
2020-06-07,40,False
2020-06-14,0,False
2020-06-21,0,False
2020-06-28,28,False
2020-07-05,29,False
