date,film matrimonio,isPartial
2018-01-07,16,False
2018-01-14,16,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,16,False
2018-02-11,33,False
2018-02-18,17,False
2018-02-25,0,False
2018-03-04,25,False
2018-03-11,50,False
2018-03-18,35,False
2018-03-25,18,False
2018-04-01,19,False
2018-04-08,18,False
2018-04-15,18,False
2018-04-22,47,False
2018-04-29,18,False
2018-05-06,35,False
2018-05-13,35,False
2018-05-20,26,False
2018-05-27,0,False
2018-06-03,35,False
2018-06-10,68,False
2018-06-17,17,False
2018-06-24,44,False
2018-07-01,17,False
2018-07-08,69,False
2018-07-15,52,False
2018-07-22,18,False
2018-07-29,18,False
2018-08-05,36,False
2018-08-12,20,False
2018-08-19,36,False
2018-08-26,50,False
2018-09-02,100,False
2018-09-09,52,False
2018-09-16,51,False
2018-09-23,35,False
2018-09-30,17,False
2018-10-07,18,False
2018-10-14,18,False
2018-10-21,17,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,35,False
2018-11-18,34,False
2018-11-25,53,False
2018-12-02,0,False
2018-12-09,18,False
2018-12-16,19,False
2018-12-23,42,False
2018-12-30,28,False
2019-01-06,17,False
2019-01-13,17,False
2019-01-20,40,False
2019-01-27,16,False
2019-02-03,0,False
2019-02-10,16,False
2019-02-17,16,False
2019-02-24,16,False
2019-03-03,33,False
2019-03-10,25,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,33,False
2019-04-14,17,False
2019-04-21,17,False
2019-04-28,16,False
2019-05-05,16,False
2019-05-12,48,False
2019-05-19,31,False
2019-05-26,15,False
2019-06-02,17,False
2019-06-09,50,False
2019-06-16,25,False
2019-06-23,0,False
2019-06-30,17,False
2019-07-07,34,False
2019-07-14,27,False
2019-07-21,17,False
2019-07-28,0,False
2019-08-04,27,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,15,False
2019-09-08,17,False
2019-09-15,25,False
2019-09-22,0,False
2019-09-29,16,False
2019-10-06,32,False
2019-10-13,48,False
2019-10-20,23,False
2019-10-27,31,False
2019-11-03,0,False
2019-11-10,15,False
2019-11-17,15,False
2019-11-24,31,False
2019-12-01,16,False
2019-12-08,16,False
2019-12-15,32,False
2019-12-22,55,False
2019-12-29,17,False
2020-01-05,0,False
2020-01-12,22,False
2020-01-19,22,False
2020-01-26,29,False
2020-02-02,58,False
2020-02-09,29,False
2020-02-16,29,False
2020-02-23,28,False
2020-03-01,14,False
2020-03-08,13,False
2020-03-15,33,False
2020-03-22,25,False
2020-03-29,26,False
2020-04-05,20,False
2020-04-12,67,False
2020-04-19,32,False
2020-04-26,22,True
