date,film matrimonio,isPartial
2018-01-07,51,False
2018-01-14,99,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,50,False
2018-02-18,0,False
2018-02-25,45,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,48,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,53,False
2018-04-29,0,False
2018-05-06,100,False
2018-05-13,50,False
2018-05-20,50,False
2018-05-27,51,False
2018-06-03,0,False
2018-06-10,47,False
2018-06-17,0,False
2018-06-24,50,False
2018-07-01,0,False
2018-07-08,97,False
2018-07-15,50,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,98,False
2018-08-26,46,False
2018-09-02,47,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,50,False
2018-09-30,0,False
2018-10-07,52,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,50,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,52,False
2018-12-09,0,False
2018-12-16,50,False
2018-12-23,56,False
2018-12-30,51,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,44,False
2019-02-03,0,False
2019-02-10,46,False
2019-02-17,46,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,46,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,48,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,44,False
2019-05-26,42,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,93,False
2019-06-23,46,False
2019-06-30,46,False
2019-07-07,0,False
2019-07-14,45,False
2019-07-21,46,False
2019-07-28,0,False
2019-08-04,45,False
2019-08-11,0,False
2019-08-18,86,False
2019-08-25,41,False
2019-09-01,0,False
2019-09-08,44,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,87,False
2019-10-13,43,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,41,False
2019-12-01,42,False
2019-12-08,43,False
2019-12-15,0,False
2019-12-22,50,False
2019-12-29,0,False
2020-01-05,41,False
2020-01-12,39,False
2020-01-19,40,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,41,False
2020-02-23,37,False
2020-03-01,36,False
2020-03-08,35,False
2020-03-15,35,False
2020-03-22,32,False
2020-03-29,100,False
2020-04-05,35,False
2020-04-12,0,False
2020-04-19,66,False
2020-04-26,0,True
