date,film matrimonio,isPartial
2018-01-07,19,False
2018-01-14,18,False
2018-01-21,19,False
2018-01-28,46,False
2018-02-04,27,False
2018-02-11,40,False
2018-02-18,28,False
2018-02-25,18,False
2018-03-04,19,False
2018-03-11,19,False
2018-03-18,19,False
2018-03-25,20,False
2018-04-01,0,False
2018-04-08,20,False
2018-04-15,39,False
2018-04-22,71,False
2018-04-29,20,False
2018-05-06,75,False
2018-05-13,69,False
2018-05-20,78,False
2018-05-27,20,False
2018-06-03,0,False
2018-06-10,27,False
2018-06-17,47,False
2018-06-24,78,False
2018-07-01,39,False
2018-07-08,39,False
2018-07-15,40,False
2018-07-22,20,False
2018-07-29,20,False
2018-08-05,21,False
2018-08-12,68,False
2018-08-19,69,False
2018-08-26,73,False
2018-09-02,39,False
2018-09-09,0,False
2018-09-16,18,False
2018-09-23,57,False
2018-09-30,0,False
2018-10-07,49,False
2018-10-14,40,False
2018-10-21,29,False
2018-10-28,85,False
2018-11-04,19,False
2018-11-11,52,False
2018-11-18,100,False
2018-11-25,30,False
2018-12-02,52,False
2018-12-09,51,False
2018-12-16,61,False
2018-12-23,64,False
2018-12-30,92,False
2019-01-06,29,False
2019-01-13,28,False
2019-01-20,18,False
2019-01-27,27,False
2019-02-03,0,False
2019-02-10,19,False
2019-02-17,18,False
2019-02-24,28,False
2019-03-03,0,False
2019-03-10,28,False
2019-03-17,76,False
2019-03-24,20,False
2019-03-31,38,False
2019-04-07,19,False
2019-04-14,20,False
2019-04-21,40,False
2019-04-28,0,False
2019-05-05,19,False
2019-05-12,37,False
2019-05-19,46,False
2019-05-26,71,False
2019-06-02,29,False
2019-06-09,61,False
2019-06-16,20,False
2019-06-23,20,False
2019-06-30,52,False
2019-07-07,40,False
2019-07-14,40,False
2019-07-21,41,False
2019-07-28,51,False
2019-08-04,43,False
2019-08-11,58,False
2019-08-18,55,False
2019-08-25,38,False
2019-09-01,18,False
2019-09-08,18,False
2019-09-15,27,False
2019-09-22,17,False
2019-09-29,43,False
2019-10-06,28,False
2019-10-13,36,False
2019-10-20,27,False
2019-10-27,17,False
2019-11-03,17,False
2019-11-10,18,False
2019-11-17,69,False
2019-11-24,35,False
2019-12-01,64,False
2019-12-08,27,False
2019-12-15,46,False
2019-12-22,80,False
2019-12-29,57,False
2020-01-05,27,False
2020-01-12,51,False
2020-01-19,44,False
2020-01-26,25,False
2020-02-02,41,False
2020-02-09,34,False
2020-02-16,35,False
2020-02-23,32,False
2020-03-01,24,False
2020-03-08,46,False
2020-03-15,30,False
2020-03-22,63,False
2020-03-29,64,False
2020-04-05,38,False
2020-04-12,60,False
2020-04-19,48,False
2020-04-26,36,True
