date,Sonnensegel Rechteckig,isPartial
2018-01-07,7,False
2018-01-14,0,False
2018-01-21,7,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,7,False
2018-02-18,0,False
2018-02-25,7,False
2018-03-04,7,False
2018-03-11,15,False
2018-03-18,7,False
2018-03-25,8,False
2018-04-01,20,False
2018-04-08,30,False
2018-04-15,35,False
2018-04-22,15,False
2018-04-29,19,False
2018-05-06,97,False
2018-05-13,26,False
2018-05-20,43,False
2018-05-27,49,False
2018-06-03,45,False
2018-06-10,29,False
2018-06-17,11,False
2018-06-24,26,False
2018-07-01,41,False
2018-07-08,7,False
2018-07-15,19,False
2018-07-22,31,False
2018-07-29,54,False
2018-08-05,30,False
2018-08-12,23,False
2018-08-19,30,False
2018-08-26,8,False
2018-09-02,8,False
2018-09-09,0,False
2018-09-16,22,False
2018-09-23,7,False
2018-09-30,7,False
2018-10-07,15,False
2018-10-14,7,False
2018-10-21,7,False
2018-10-28,7,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,9,False
2018-12-30,8,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,13,False
2019-02-03,7,False
2019-02-10,21,False
2019-02-17,7,False
2019-02-24,7,False
2019-03-03,7,False
2019-03-10,7,False
2019-03-17,14,False
2019-03-24,14,False
2019-03-31,14,False
2019-04-07,17,False
2019-04-14,23,False
2019-04-21,19,False
2019-04-28,10,False
2019-05-05,31,False
2019-05-12,21,False
2019-05-19,7,False
2019-05-26,18,False
2019-06-02,24,False
2019-06-09,14,False
2019-06-16,29,False
2019-06-23,100,False
2019-06-30,60,False
2019-07-07,11,False
2019-07-14,15,False
2019-07-21,50,False
2019-07-28,30,False
2019-08-04,19,False
2019-08-11,21,False
2019-08-18,11,False
2019-08-25,21,False
2019-09-01,0,False
2019-09-08,7,False
2019-09-15,7,False
2019-09-22,0,False
2019-09-29,7,False
2019-10-06,0,False
2019-10-13,7,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,7,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,6,False
2020-01-19,6,False
2020-01-26,9,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,0,False
2020-02-23,6,False
2020-03-01,0,False
2020-03-08,6,False
2020-03-15,11,False
2020-03-22,11,False
2020-03-29,22,False
2020-04-05,55,False
2020-04-12,32,False
2020-04-19,43,False
2020-04-26,33,False
2020-05-03,37,False
2020-05-10,28,False
