date,Enthärtungsanlage,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,30,False
2018-02-11,29,False
2018-02-18,58,False
2018-02-25,43,False
2018-03-04,29,False
2018-03-11,29,False
2018-03-18,59,False
2018-03-25,60,False
2018-04-01,0,False
2018-04-08,30,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,60,False
2018-05-06,0,False
2018-05-13,29,False
2018-05-20,30,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,85,False
2018-06-17,57,False
2018-06-24,44,False
2018-07-01,30,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,46,False
2018-07-29,29,False
2018-08-05,0,False
2018-08-12,27,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,57,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,58,False
2018-09-30,45,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,28,False
2018-10-28,56,False
2018-11-04,28,False
2018-11-11,28,False
2018-11-18,28,False
2018-11-25,28,False
2018-12-02,28,False
2018-12-09,57,False
2018-12-16,0,False
2018-12-23,48,False
2018-12-30,59,False
2019-01-06,27,False
2019-01-13,26,False
2019-01-20,27,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,28,False
2019-02-24,28,False
2019-03-03,27,False
2019-03-10,53,False
2019-03-17,0,False
2019-03-24,56,False
2019-03-31,0,False
2019-04-07,58,False
2019-04-14,31,False
2019-04-21,0,False
2019-04-28,28,False
2019-05-05,27,False
2019-05-12,28,False
2019-05-19,27,False
2019-05-26,28,False
2019-06-02,53,False
2019-06-09,27,False
2019-06-16,27,False
2019-06-23,28,False
2019-06-30,0,False
2019-07-07,28,False
2019-07-14,0,False
2019-07-21,30,False
2019-07-28,0,False
2019-08-04,28,False
2019-08-11,26,False
2019-08-18,0,False
2019-08-25,27,False
2019-09-01,52,False
2019-09-08,53,False
2019-09-15,0,False
2019-09-22,26,False
2019-09-29,27,False
2019-10-06,0,False
2019-10-13,26,False
2019-10-20,26,False
2019-10-27,51,False
2019-11-03,0,False
2019-11-10,100,False
2019-11-17,38,False
2019-11-24,49,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,26,False
2020-01-05,24,False
2020-01-12,35,False
2020-01-19,48,False
2020-01-26,24,False
2020-02-02,0,False
2020-02-09,70,False
2020-02-16,24,False
2020-02-23,0,False
2020-03-01,24,False
2020-03-08,22,False
2020-03-15,22,False
2020-03-22,0,False
2020-03-29,22,False
2020-04-05,0,False
2020-04-12,46,False
2020-04-19,22,False
2020-04-26,21,False
2020-05-03,44,False
2020-05-10,22,False
