date,traiteur livraison domicile,isPartial
2018-01-07,45,False
2018-01-14,37,False
2018-01-21,30,False
2018-01-28,22,False
2018-02-04,22,False
2018-02-11,38,False
2018-02-18,23,False
2018-02-25,57,False
2018-03-04,0,False
2018-03-11,23,False
2018-03-18,38,False
2018-03-25,0,False
2018-04-01,39,False
2018-04-08,23,False
2018-04-15,24,False
2018-04-22,23,False
2018-04-29,23,False
2018-05-06,48,False
2018-05-13,30,False
2018-05-20,35,False
2018-05-27,34,False
2018-06-03,23,False
2018-06-10,22,False
2018-06-17,23,False
2018-06-24,46,False
2018-07-01,34,False
2018-07-08,47,False
2018-07-15,49,False
2018-07-22,0,False
2018-07-29,25,False
2018-08-05,100,False
2018-08-12,26,False
2018-08-19,25,False
2018-08-26,48,False
2018-09-02,47,False
2018-09-09,23,False
2018-09-16,46,False
2018-09-23,35,False
2018-09-30,35,False
2018-10-07,23,False
2018-10-14,23,False
2018-10-21,23,False
2018-10-28,31,False
2018-11-04,45,False
2018-11-11,23,False
2018-11-18,37,False
2018-11-25,46,False
2018-12-02,34,False
2018-12-09,46,False
2018-12-16,82,False
2018-12-23,80,False
2018-12-30,25,False
2019-01-06,34,False
2019-01-13,30,False
2019-01-20,22,False
2019-01-27,43,False
2019-02-03,37,False
2019-02-10,35,False
2019-02-17,23,False
2019-02-24,23,False
2019-03-03,22,False
2019-03-10,23,False
2019-03-17,23,False
2019-03-24,23,False
2019-03-31,23,False
2019-04-07,0,False
2019-04-14,23,False
2019-04-21,23,False
2019-04-28,34,False
2019-05-05,37,False
2019-05-12,56,False
2019-05-19,33,False
2019-05-26,30,False
2019-06-02,31,False
2019-06-09,0,False
2019-06-16,45,False
2019-06-23,44,False
2019-06-30,37,False
2019-07-07,23,False
2019-07-14,46,False
2019-07-21,24,False
2019-07-28,36,False
2019-08-04,24,False
2019-08-11,40,False
2019-08-18,24,False
2019-08-25,45,False
2019-09-01,36,False
2019-09-08,32,False
2019-09-15,22,False
2019-09-22,21,False
2019-09-29,21,False
2019-10-06,21,False
2019-10-13,28,False
2019-10-20,0,False
2019-10-27,21,False
2019-11-03,30,False
2019-11-10,28,False
2019-11-17,34,False
2019-11-24,30,False
2019-12-01,60,False
2019-12-08,33,False
2019-12-15,34,False
2019-12-22,0,False
2019-12-29,36,False
2020-01-05,20,False
2020-01-12,39,False
2020-01-19,40,False
2020-01-26,33,False
2020-02-02,20,False
2020-02-09,49,False
2020-02-16,20,False
2020-02-23,77,False
2020-03-01,25,False
2020-03-08,28,False
2020-03-15,83,False
2020-03-22,70,False
2020-03-29,64,False
2020-04-05,76,False
2020-04-12,36,False
2020-04-19,70,False
2020-04-26,61,False
2020-05-03,45,False
2020-05-10,35,False
2020-05-17,44,True
