date,kit panneau solaire camping car,isPartial
2018-01-07,61,False
2018-01-14,30,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,30,False
2018-02-11,31,False
2018-02-18,32,False
2018-02-25,47,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,62,False
2018-03-25,64,False
2018-04-01,0,False
2018-04-08,31,False
2018-04-15,67,False
2018-04-22,32,False
2018-04-29,32,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,32,False
2018-05-27,62,False
2018-06-03,31,False
2018-06-10,30,False
2018-06-17,63,False
2018-06-24,31,False
2018-07-01,31,False
2018-07-08,32,False
2018-07-15,34,False
2018-07-22,100,False
2018-07-29,0,False
2018-08-05,34,False
2018-08-12,35,False
2018-08-19,34,False
2018-08-26,32,False
2018-09-02,32,False
2018-09-09,31,False
2018-09-16,31,False
2018-09-23,53,False
2018-09-30,31,False
2018-10-07,64,False
2018-10-14,0,False
2018-10-21,32,False
2018-10-28,32,False
2018-11-04,46,False
2018-11-11,0,False
2018-11-18,61,False
2018-11-25,31,False
2018-12-02,31,False
2018-12-09,47,False
2018-12-16,0,False
2018-12-23,36,False
2018-12-30,34,False
2019-01-06,31,False
2019-01-13,0,False
2019-01-20,30,False
2019-01-27,30,False
2019-02-03,40,False
2019-02-10,63,False
2019-02-17,32,False
2019-02-24,0,False
2019-03-03,61,False
2019-03-10,31,False
2019-03-17,0,False
2019-03-24,32,False
2019-03-31,47,False
2019-04-07,63,False
2019-04-14,48,False
2019-04-21,96,False
2019-04-28,63,False
2019-05-05,46,False
2019-05-12,46,False
2019-05-19,61,False
2019-05-26,0,False
2019-06-02,29,False
2019-06-09,60,False
2019-06-16,46,False
2019-06-23,41,False
2019-06-30,61,False
2019-07-07,51,False
2019-07-14,32,False
2019-07-21,0,False
2019-07-28,33,False
2019-08-04,66,False
2019-08-11,0,False
2019-08-18,49,False
2019-08-25,31,False
2019-09-01,0,False
2019-09-08,30,False
2019-09-15,29,False
2019-09-22,71,False
2019-09-29,28,False
2019-10-06,29,False
2019-10-13,29,False
2019-10-20,29,False
2019-10-27,29,False
2019-11-03,42,False
2019-11-10,28,False
2019-11-17,56,False
2019-11-24,41,False
2019-12-01,28,False
2019-12-08,28,False
2019-12-15,37,False
2019-12-22,62,False
2019-12-29,30,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,27,False
2020-01-26,27,False
2020-02-02,27,False
2020-02-09,27,False
2020-02-16,27,False
2020-02-23,65,False
2020-03-01,52,False
2020-03-08,38,False
2020-03-15,0,False
2020-03-22,24,False
2020-03-29,0,False
2020-04-05,24,False
2020-04-12,37,False
2020-04-19,48,False
2020-04-26,30,False
2020-05-03,23,False
2020-05-10,96,False
2020-05-17,31,True
