date,fotografia professionale,isPartial
2018-01-07,25,False
2018-01-14,37,False
2018-01-21,49,False
2018-01-28,24,False
2018-02-04,24,False
2018-02-11,24,False
2018-02-18,47,False
2018-02-25,23,False
2018-03-04,23,False
2018-03-11,24,False
2018-03-18,36,False
2018-03-25,38,False
2018-04-01,52,False
2018-04-08,36,False
2018-04-15,25,False
2018-04-22,26,False
2018-04-29,25,False
2018-05-06,0,False
2018-05-13,24,False
2018-05-20,24,False
2018-05-27,50,False
2018-06-03,49,False
2018-06-10,24,False
2018-06-17,25,False
2018-06-24,25,False
2018-07-01,24,False
2018-07-08,0,False
2018-07-15,25,False
2018-07-22,0,False
2018-07-29,51,False
2018-08-05,26,False
2018-08-12,27,False
2018-08-19,0,False
2018-08-26,100,False
2018-09-02,24,False
2018-09-09,0,False
2018-09-16,47,False
2018-09-23,24,False
2018-09-30,24,False
2018-10-07,74,False
2018-10-14,0,False
2018-10-21,48,False
2018-10-28,24,False
2018-11-04,35,False
2018-11-11,24,False
2018-11-18,24,False
2018-11-25,37,False
2018-12-02,24,False
2018-12-09,24,False
2018-12-16,26,False
2018-12-23,29,False
2018-12-30,0,False
2019-01-06,25,False
2019-01-13,24,False
2019-01-20,34,False
2019-01-27,0,False
2019-02-03,46,False
2019-02-10,35,False
2019-02-17,24,False
2019-02-24,47,False
2019-03-03,0,False
2019-03-10,36,False
2019-03-17,37,False
2019-03-24,0,False
2019-03-31,48,False
2019-04-07,24,False
2019-04-14,24,False
2019-04-21,52,False
2019-04-28,24,False
2019-05-05,0,False
2019-05-12,23,False
2019-05-19,35,False
2019-05-26,22,False
2019-06-02,24,False
2019-06-09,71,False
2019-06-16,73,False
2019-06-23,0,False
2019-06-30,49,False
2019-07-07,0,False
2019-07-14,25,False
2019-07-21,37,False
2019-07-28,25,False
2019-08-04,0,False
2019-08-11,55,False
2019-08-18,26,False
2019-08-25,0,False
2019-09-01,22,False
2019-09-08,0,False
2019-09-15,22,False
2019-09-22,22,False
2019-09-29,22,False
2019-10-06,23,False
2019-10-13,23,False
2019-10-20,65,False
2019-10-27,22,False
2019-11-03,21,False
2019-11-10,44,False
2019-11-17,33,False
2019-11-24,64,False
2019-12-01,45,False
2019-12-08,34,False
2019-12-15,68,False
2019-12-22,52,False
2019-12-29,50,False
2020-01-05,0,False
2020-01-12,42,False
2020-01-19,42,False
2020-01-26,0,False
2020-02-02,21,False
2020-02-09,21,False
2020-02-16,42,False
2020-02-23,40,False
2020-03-01,20,False
2020-03-08,19,False
2020-03-15,29,False
2020-03-22,18,False
2020-03-29,36,False
2020-04-05,19,False
2020-04-12,29,False
2020-04-19,36,False
2020-04-26,48,True
