date,traiteur evenement,isPartial
2018-01-07,45,False
2018-01-14,30,False
2018-01-21,30,False
2018-01-28,45,False
2018-02-04,44,False
2018-02-11,45,False
2018-02-18,62,False
2018-02-25,60,False
2018-03-04,30,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,32,False
2018-04-08,30,False
2018-04-15,32,False
2018-04-22,31,False
2018-04-29,0,False
2018-05-06,32,False
2018-05-13,61,False
2018-05-20,0,False
2018-05-27,60,False
2018-06-03,45,False
2018-06-10,43,False
2018-06-17,61,False
2018-06-24,77,False
2018-07-01,60,False
2018-07-08,31,False
2018-07-15,98,False
2018-07-22,0,False
2018-07-29,66,False
2018-08-05,0,False
2018-08-12,69,False
2018-08-19,33,False
2018-08-26,32,False
2018-09-02,31,False
2018-09-09,31,False
2018-09-16,31,False
2018-09-23,31,False
2018-09-30,62,False
2018-10-07,62,False
2018-10-14,62,False
2018-10-21,0,False
2018-10-28,93,False
2018-11-04,30,False
2018-11-11,30,False
2018-11-18,30,False
2018-11-25,30,False
2018-12-02,30,False
2018-12-09,31,False
2018-12-16,62,False
2018-12-23,35,False
2018-12-30,0,False
2019-01-06,60,False
2019-01-13,30,False
2019-01-20,0,False
2019-01-27,29,False
2019-02-03,29,False
2019-02-10,30,False
2019-02-17,31,False
2019-02-24,31,False
2019-03-03,44,False
2019-03-10,60,False
2019-03-17,31,False
2019-03-24,94,False
2019-03-31,30,False
2019-04-07,31,False
2019-04-14,31,False
2019-04-21,31,False
2019-04-28,30,False
2019-05-05,59,False
2019-05-12,45,False
2019-05-19,30,False
2019-05-26,45,False
2019-06-02,28,False
2019-06-09,43,False
2019-06-16,30,False
2019-06-23,0,False
2019-06-30,29,False
2019-07-07,30,False
2019-07-14,31,False
2019-07-21,31,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,32,False
2019-08-18,32,False
2019-08-25,30,False
2019-09-01,43,False
2019-09-08,29,False
2019-09-15,29,False
2019-09-22,55,False
2019-09-29,28,False
2019-10-06,28,False
2019-10-13,56,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,54,False
2019-11-10,55,False
2019-11-17,27,False
2019-11-24,92,False
2019-12-01,27,False
2019-12-08,27,False
2019-12-15,27,False
2019-12-22,0,False
2019-12-29,29,False
2020-01-05,66,False
2020-01-12,39,False
2020-01-19,80,False
2020-01-26,26,False
2020-02-02,39,False
2020-02-09,26,False
2020-02-16,53,False
2020-02-23,51,False
2020-03-01,0,False
2020-03-08,100,False
2020-03-15,0,False
2020-03-22,23,False
2020-03-29,23,False
2020-04-05,0,False
2020-04-12,24,False
2020-04-19,23,False
2020-04-26,22,False
2020-05-03,22,False
2020-05-10,23,False
2020-05-17,0,True
