date,Mauer Bauen,isPartial
2018-01-07,27,False
2018-01-14,0,False
2018-01-21,26,False
2018-01-28,26,False
2018-02-04,41,False
2018-02-11,27,False
2018-02-18,66,False
2018-02-25,52,False
2018-03-04,27,False
2018-03-11,52,False
2018-03-18,26,False
2018-03-25,38,False
2018-04-01,47,False
2018-04-08,80,False
2018-04-15,63,False
2018-04-22,39,False
2018-04-29,55,False
2018-05-06,46,False
2018-05-13,39,False
2018-05-20,56,False
2018-05-27,39,False
2018-06-03,40,False
2018-06-10,25,False
2018-06-17,26,False
2018-06-24,40,False
2018-07-01,26,False
2018-07-08,51,False
2018-07-15,27,False
2018-07-22,0,False
2018-07-29,28,False
2018-08-05,28,False
2018-08-12,55,False
2018-08-19,82,False
2018-08-26,27,False
2018-09-02,53,False
2018-09-09,40,False
2018-09-16,53,False
2018-09-23,27,False
2018-09-30,40,False
2018-10-07,54,False
2018-10-14,41,False
2018-10-21,27,False
2018-10-28,26,False
2018-11-04,25,False
2018-11-11,65,False
2018-11-18,25,False
2018-11-25,26,False
2018-12-02,25,False
2018-12-09,38,False
2018-12-16,53,False
2018-12-23,45,False
2018-12-30,69,False
2019-01-06,37,False
2019-01-13,24,False
2019-01-20,49,False
2019-01-27,24,False
2019-02-03,37,False
2019-02-10,50,False
2019-02-17,84,False
2019-02-24,51,False
2019-03-03,25,False
2019-03-10,24,False
2019-03-17,51,False
2019-03-24,42,False
2019-03-31,50,False
2019-04-07,25,False
2019-04-14,0,False
2019-04-21,40,False
2019-04-28,51,False
2019-05-05,49,False
2019-05-12,42,False
2019-05-19,33,False
2019-05-26,51,False
2019-06-02,25,False
2019-06-09,26,False
2019-06-16,26,False
2019-06-23,43,False
2019-06-30,100,False
2019-07-07,62,False
2019-07-14,53,False
2019-07-21,43,False
2019-07-28,27,False
2019-08-04,42,False
2019-08-11,27,False
2019-08-18,26,False
2019-08-25,0,False
2019-09-01,33,False
2019-09-08,25,False
2019-09-15,25,False
2019-09-22,0,False
2019-09-29,25,False
2019-10-06,24,False
2019-10-13,37,False
2019-10-20,25,False
2019-10-27,24,False
2019-11-03,69,False
2019-11-10,0,False
2019-11-17,23,False
2019-11-24,68,False
2019-12-01,35,False
2019-12-08,0,False
2019-12-15,23,False
2019-12-22,0,False
2019-12-29,26,False
2020-01-05,23,False
2020-01-12,0,False
2020-01-19,45,False
2020-01-26,30,False
2020-02-02,37,False
2020-02-09,21,False
2020-02-16,34,False
2020-02-23,50,False
2020-03-01,43,False
2020-03-08,20,False
2020-03-15,40,False
2020-03-22,60,False
2020-03-29,47,False
2020-04-05,36,False
2020-04-12,52,False
2020-04-19,47,False
2020-04-26,59,False
2020-05-03,67,False
2020-05-10,61,False
