date,corso di fotografia,isPartial
2018-01-07,33,False
2018-01-14,64,False
2018-01-21,0,False
2018-01-28,31,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,60,False
2018-02-25,29,False
2018-03-04,0,False
2018-03-11,30,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,33,False
2018-04-08,0,False
2018-04-15,32,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,30,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,30,False
2018-07-08,30,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,31,False
2018-08-05,32,False
2018-08-12,100,False
2018-08-19,33,False
2018-08-26,62,False
2018-09-02,30,False
2018-09-09,30,False
2018-09-16,60,False
2018-09-23,0,False
2018-09-30,47,False
2018-10-07,63,False
2018-10-14,31,False
2018-10-21,31,False
2018-10-28,60,False
2018-11-04,31,False
2018-11-11,32,False
2018-11-18,31,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,77,False
2018-12-30,72,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,31,False
2019-02-10,0,False
2019-02-17,32,False
2019-02-24,32,False
2019-03-03,0,False
2019-03-10,31,False
2019-03-17,31,False
2019-03-24,0,False
2019-03-31,31,False
2019-04-07,62,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,30,False
2019-05-12,59,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,31,False
2019-06-16,32,False
2019-06-23,64,False
2019-06-30,31,False
2019-07-07,0,False
2019-07-14,31,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,32,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,28,False
2019-09-08,29,False
2019-09-15,87,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,59,False
2019-10-13,29,False
2019-10-20,28,False
2019-10-27,0,False
2019-11-03,42,False
2019-11-10,0,False
2019-11-17,55,False
2019-11-24,28,False
2019-12-01,58,False
2019-12-08,29,False
2019-12-15,29,False
2019-12-22,0,False
2019-12-29,96,False
2020-01-05,29,False
2020-01-12,0,False
2020-01-19,28,False
2020-01-26,27,False
2020-02-02,27,False
2020-02-09,28,False
2020-02-16,28,False
2020-02-23,25,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,25,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,24,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,True
