date,concepteur paysagiste,isPartial
2018-01-07,24,False
2018-01-14,24,False
2018-01-21,24,False
2018-01-28,24,False
2018-02-04,95,False
2018-02-11,24,False
2018-02-18,0,False
2018-02-25,24,False
2018-03-04,24,False
2018-03-11,24,False
2018-03-18,24,False
2018-03-25,0,False
2018-04-01,50,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,26,False
2018-05-13,24,False
2018-05-20,25,False
2018-05-27,24,False
2018-06-03,60,False
2018-06-10,23,False
2018-06-17,25,False
2018-06-24,25,False
2018-07-01,24,False
2018-07-08,25,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,40,False
2018-08-05,53,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,25,False
2018-09-02,25,False
2018-09-09,49,False
2018-09-16,25,False
2018-09-23,25,False
2018-09-30,25,False
2018-10-07,62,False
2018-10-14,25,False
2018-10-21,100,False
2018-10-28,25,False
2018-11-04,24,False
2018-11-11,48,False
2018-11-18,47,False
2018-11-25,0,False
2018-12-02,24,False
2018-12-09,73,False
2018-12-16,25,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,96,False
2019-01-13,0,False
2019-01-20,23,False
2019-01-27,23,False
2019-02-03,46,False
2019-02-10,61,False
2019-02-17,25,False
2019-02-24,25,False
2019-03-03,59,False
2019-03-10,24,False
2019-03-17,25,False
2019-03-24,25,False
2019-03-31,24,False
2019-04-07,37,False
2019-04-14,37,False
2019-04-21,0,False
2019-04-28,24,False
2019-05-05,36,False
2019-05-12,24,False
2019-05-19,24,False
2019-05-26,24,False
2019-06-02,23,False
2019-06-09,0,False
2019-06-16,60,False
2019-06-23,47,False
2019-06-30,48,False
2019-07-07,24,False
2019-07-14,25,False
2019-07-21,38,False
2019-07-28,26,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,51,False
2019-08-25,24,False
2019-09-01,0,False
2019-09-08,23,False
2019-09-15,23,False
2019-09-22,22,False
2019-09-29,33,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,68,False
2019-10-27,45,False
2019-11-03,66,False
2019-11-10,0,False
2019-11-17,22,False
2019-11-24,43,False
2019-12-01,21,False
2019-12-08,22,False
2019-12-15,0,False
2019-12-22,24,False
2019-12-29,0,False
2020-01-05,21,False
2020-01-12,62,False
2020-01-19,53,False
2020-01-26,21,False
2020-02-02,42,False
2020-02-09,32,False
2020-02-16,21,False
2020-02-23,20,False
2020-03-01,30,False
2020-03-08,40,False
2020-03-15,0,False
2020-03-22,56,False
2020-03-29,56,False
2020-04-05,0,False
2020-04-12,19,False
2020-04-19,28,False
2020-04-26,18,False
2020-05-03,18,False
2020-05-10,47,False
2020-05-17,24,True
