date,organizacion de eventos,isPartial
2018-01-07,0,False
2018-01-14,60,False
2018-01-21,30,False
2018-01-28,58,False
2018-02-04,30,False
2018-02-11,30,False
2018-02-18,61,False
2018-02-25,28,False
2018-03-04,28,False
2018-03-11,0,False
2018-03-18,30,False
2018-03-25,33,False
2018-04-01,87,False
2018-04-08,43,False
2018-04-15,61,False
2018-04-22,0,False
2018-04-29,30,False
2018-05-06,29,False
2018-05-13,30,False
2018-05-20,74,False
2018-05-27,30,False
2018-06-03,59,False
2018-06-10,56,False
2018-06-17,0,False
2018-06-24,30,False
2018-07-01,61,False
2018-07-08,29,False
2018-07-15,31,False
2018-07-22,0,False
2018-07-29,30,False
2018-08-05,0,False
2018-08-12,29,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,28,False
2018-09-16,29,False
2018-09-23,29,False
2018-09-30,29,False
2018-10-07,29,False
2018-10-14,0,False
2018-10-21,44,False
2018-10-28,59,False
2018-11-04,0,False
2018-11-11,29,False
2018-11-18,0,False
2018-11-25,59,False
2018-12-02,63,False
2018-12-09,31,False
2018-12-16,62,False
2018-12-23,35,False
2018-12-30,100,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,27,False
2019-01-27,28,False
2019-02-03,30,False
2019-02-10,43,False
2019-02-17,0,False
2019-02-24,31,False
2019-03-03,30,False
2019-03-10,31,False
2019-03-17,60,False
2019-03-24,44,False
2019-03-31,28,False
2019-04-07,58,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,88,False
2019-05-05,30,False
2019-05-12,0,False
2019-05-19,58,False
2019-05-26,85,False
2019-06-02,28,False
2019-06-09,28,False
2019-06-16,59,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,29,False
2019-07-14,29,False
2019-07-21,0,False
2019-07-28,30,False
2019-08-04,58,False
2019-08-11,29,False
2019-08-18,28,False
2019-08-25,0,False
2019-09-01,27,False
2019-09-08,40,False
2019-09-15,27,False
2019-09-22,55,False
2019-09-29,28,False
2019-10-06,55,False
2019-10-13,54,False
2019-10-20,27,False
2019-10-27,27,False
2019-11-03,39,False
2019-11-10,52,False
2019-11-17,51,False
2019-11-24,26,False
2019-12-01,54,False
2019-12-08,28,False
2019-12-15,51,False
2019-12-22,29,False
2019-12-29,28,False
2020-01-05,54,False
2020-01-12,49,False
2020-01-19,23,False
2020-01-26,63,False
2020-02-02,25,False
2020-02-09,51,False
2020-02-16,75,False
2020-02-23,0,False
2020-03-01,25,False
2020-03-08,48,False
2020-03-15,0,False
2020-03-22,21,False
2020-03-29,21,False
2020-04-05,46,False
2020-04-12,36,True
