date,organizacion de eventos,isPartial
2018-01-07,20,False
2018-01-14,20,False
2018-01-21,39,False
2018-01-28,58,False
2018-02-04,19,False
2018-02-11,20,False
2018-02-18,40,False
2018-02-25,19,False
2018-03-04,78,False
2018-03-11,38,False
2018-03-18,40,False
2018-03-25,26,False
2018-04-01,40,False
2018-04-08,38,False
2018-04-15,58,False
2018-04-22,67,False
2018-04-29,22,False
2018-05-06,77,False
2018-05-13,30,False
2018-05-20,48,False
2018-05-27,38,False
2018-06-03,38,False
2018-06-10,57,False
2018-06-17,83,False
2018-06-24,31,False
2018-07-01,43,False
2018-07-08,44,False
2018-07-15,23,False
2018-07-22,24,False
2018-07-29,62,False
2018-08-05,27,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,61,False
2018-09-09,70,False
2018-09-16,48,False
2018-09-23,38,False
2018-09-30,57,False
2018-10-07,40,False
2018-10-14,38,False
2018-10-21,0,False
2018-10-28,100,False
2018-11-04,52,False
2018-11-11,18,False
2018-11-18,62,False
2018-11-25,17,False
2018-12-02,19,False
2018-12-09,38,False
2018-12-16,19,False
2018-12-23,24,False
2018-12-30,31,False
2019-01-06,20,False
2019-01-13,55,False
2019-01-20,26,False
2019-01-27,16,False
2019-02-03,37,False
2019-02-10,28,False
2019-02-17,37,False
2019-02-24,33,False
2019-03-03,67,False
2019-03-10,38,False
2019-03-17,19,False
2019-03-24,29,False
2019-03-31,27,False
2019-04-07,25,False
2019-04-14,23,False
2019-04-21,28,False
2019-04-28,20,False
2019-05-05,17,False
2019-05-12,37,False
2019-05-19,18,False
2019-05-26,18,False
2019-06-02,18,False
2019-06-09,35,False
2019-06-16,57,False
2019-06-23,39,False
2019-06-30,51,False
2019-07-07,76,False
2019-07-14,43,False
2019-07-21,21,False
2019-07-28,24,False
2019-08-04,26,False
2019-08-11,0,False
2019-08-18,26,False
2019-08-25,22,False
2019-09-01,0,False
2019-09-08,36,False
2019-09-15,34,False
2019-09-22,44,False
2019-09-29,53,False
2019-10-06,52,False
2019-10-13,34,False
2019-10-20,34,False
2019-10-27,17,False
2019-11-03,42,False
2019-11-10,41,False
2019-11-17,17,False
2019-11-24,48,False
2019-12-01,35,False
2019-12-08,27,False
2019-12-15,34,False
2019-12-22,0,False
2019-12-29,20,False
2020-01-05,35,False
2020-01-12,0,False
2020-01-19,24,False
2020-01-26,48,False
2020-02-02,16,False
2020-02-09,16,False
2020-02-16,82,False
2020-02-23,24,False
2020-03-01,31,False
2020-03-08,23,False
2020-03-15,16,False
2020-03-22,31,False
2020-03-29,46,False
2020-04-05,16,False
2020-04-12,27,True
