date,pasticcere o pasticciere,isPartial
2018-01-07,23,False
2018-01-14,32,False
2018-01-21,9,False
2018-01-28,27,False
2018-02-04,9,False
2018-02-11,9,False
2018-02-18,22,False
2018-02-25,22,False
2018-03-04,18,False
2018-03-11,18,False
2018-03-18,23,False
2018-03-25,19,False
2018-04-01,34,False
2018-04-08,27,False
2018-04-15,37,False
2018-04-22,19,False
2018-04-29,19,False
2018-05-06,32,False
2018-05-13,9,False
2018-05-20,9,False
2018-05-27,9,False
2018-06-03,18,False
2018-06-10,9,False
2018-06-17,9,False
2018-06-24,14,False
2018-07-01,9,False
2018-07-08,18,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,14,False
2018-08-05,10,False
2018-08-12,16,False
2018-08-19,25,False
2018-08-26,14,False
2018-09-02,9,False
2018-09-09,27,False
2018-09-16,18,False
2018-09-23,36,False
2018-09-30,9,False
2018-10-07,18,False
2018-10-14,56,False
2018-10-21,23,False
2018-10-28,31,False
2018-11-04,9,False
2018-11-11,14,False
2018-11-18,18,False
2018-11-25,27,False
2018-12-02,0,False
2018-12-09,32,False
2018-12-16,57,False
2018-12-23,16,False
2018-12-30,15,False
2019-01-06,37,False
2019-01-13,13,False
2019-01-20,34,False
2019-01-27,13,False
2019-02-03,13,False
2019-02-10,13,False
2019-02-17,22,False
2019-02-24,26,False
2019-03-03,18,False
2019-03-10,13,False
2019-03-17,23,False
2019-03-24,0,False
2019-03-31,18,False
2019-04-07,13,False
2019-04-14,14,False
2019-04-21,19,False
2019-04-28,9,False
2019-05-05,17,False
2019-05-12,13,False
2019-05-19,21,False
2019-05-26,21,False
2019-06-02,13,False
2019-06-09,22,False
2019-06-16,0,False
2019-06-23,14,False
2019-06-30,9,False
2019-07-07,22,False
2019-07-14,27,False
2019-07-21,19,False
2019-07-28,0,False
2019-08-04,10,False
2019-08-11,0,False
2019-08-18,10,False
2019-08-25,9,False
2019-09-01,21,False
2019-09-08,17,False
2019-09-15,46,False
2019-09-22,100,False
2019-09-29,21,False
2019-10-06,13,False
2019-10-13,25,False
2019-10-20,37,False
2019-10-27,42,False
2019-11-03,32,False
2019-11-10,25,False
2019-11-17,33,False
2019-11-24,12,False
2019-12-01,25,False
2019-12-08,21,False
2019-12-15,30,False
2019-12-22,30,False
2019-12-29,57,False
2020-01-05,50,False
2020-01-12,31,False
2020-01-19,47,False
2020-01-26,35,False
2020-02-02,8,False
2020-02-09,24,False
2020-02-16,8,False
2020-02-23,15,False
2020-03-01,11,False
2020-03-08,14,False
2020-03-15,43,False
2020-03-22,27,False
2020-03-29,41,False
2020-04-05,43,False
2020-04-12,32,False
2020-04-19,31,False
2020-04-26,60,True
