date,Ricamo,isPartial
2018-01-07,16,False
2018-01-14,40,False
2018-01-21,56,False
2018-01-28,24,False
2018-02-04,31,False
2018-02-11,56,False
2018-02-18,100,False
2018-02-25,37,False
2018-03-04,47,False
2018-03-11,48,False
2018-03-18,38,False
2018-03-25,33,False
2018-04-01,42,False
2018-04-08,32,False
2018-04-15,33,False
2018-04-22,68,False
2018-04-29,33,False
2018-05-06,65,False
2018-05-13,33,False
2018-05-20,49,False
2018-05-27,50,False
2018-06-03,0,False
2018-06-10,53,False
2018-06-17,47,False
2018-06-24,31,False
2018-07-01,24,False
2018-07-08,16,False
2018-07-15,55,False
2018-07-22,31,False
2018-07-29,23,False
2018-08-05,0,False
2018-08-12,34,False
2018-08-19,54,False
2018-08-26,14,False
2018-09-02,30,False
2018-09-09,16,False
2018-09-16,55,False
2018-09-23,16,False
2018-09-30,32,False
2018-10-07,25,False
2018-10-14,33,False
2018-10-21,16,False
2018-10-28,24,False
2018-11-04,24,False
2018-11-11,59,False
2018-11-18,40,False
2018-11-25,64,False
2018-12-02,17,False
2018-12-09,33,False
2018-12-16,25,False
2018-12-23,71,False
2018-12-30,32,False
2019-01-06,63,False
2019-01-13,39,False
2019-01-20,51,False
2019-01-27,22,False
2019-02-03,72,False
2019-02-10,43,False
2019-02-17,60,False
2019-02-24,59,False
2019-03-03,31,False
2019-03-10,52,False
2019-03-17,31,False
2019-03-24,38,False
2019-03-31,15,False
2019-04-07,29,False
2019-04-14,23,False
2019-04-21,0,False
2019-04-28,51,False
2019-05-05,29,False
2019-05-12,50,False
2019-05-19,58,False
2019-05-26,21,False
2019-06-02,45,False
2019-06-09,39,False
2019-06-16,38,False
2019-06-23,38,False
2019-06-30,30,False
2019-07-07,49,False
2019-07-14,22,False
2019-07-21,30,False
2019-07-28,28,False
2019-08-04,50,False
2019-08-11,29,False
2019-08-18,64,False
2019-08-25,28,False
2019-09-01,27,False
2019-09-08,34,False
2019-09-15,14,False
2019-09-22,41,False
2019-09-29,0,False
2019-10-06,36,False
2019-10-13,22,False
2019-10-20,49,False
2019-10-27,28,False
2019-11-03,40,False
2019-11-10,21,False
2019-11-17,21,False
2019-11-24,13,False
2019-12-01,35,False
2019-12-08,22,False
2019-12-15,14,False
2019-12-22,15,False
2019-12-29,14,False
2020-01-05,14,False
2020-01-12,33,False
2020-01-19,27,False
2020-01-26,46,False
2020-02-02,51,False
2020-02-09,40,False
2020-02-16,20,False
2020-02-23,25,False
2020-03-01,43,False
2020-03-08,23,False
2020-03-15,22,False
2020-03-22,31,False
2020-03-29,53,False
2020-04-05,68,False
2020-04-12,80,False
2020-04-19,53,False
2020-04-26,67,True
