date,Parkettleger,isPartial
2018-01-07,86,False
2018-01-14,0,False
2018-01-21,64,False
2018-01-28,0,False
2018-02-04,44,False
2018-02-11,0,False
2018-02-18,89,False
2018-02-25,44,False
2018-03-04,89,False
2018-03-11,44,False
2018-03-18,89,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,92,False
2018-04-15,46,False
2018-04-22,90,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,44,False
2018-06-10,42,False
2018-06-17,43,False
2018-06-24,0,False
2018-07-01,42,False
2018-07-08,42,False
2018-07-15,86,False
2018-07-22,86,False
2018-07-29,44,False
2018-08-05,92,False
2018-08-12,0,False
2018-08-19,96,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,45,False
2018-10-07,87,False
2018-10-14,0,False
2018-10-21,87,False
2018-10-28,0,False
2018-11-04,64,False
2018-11-11,43,False
2018-11-18,42,False
2018-11-25,42,False
2018-12-02,63,False
2018-12-09,0,False
2018-12-16,88,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,41,False
2019-01-13,79,False
2019-01-20,40,False
2019-01-27,0,False
2019-02-03,40,False
2019-02-10,41,False
2019-02-17,0,False
2019-02-24,84,False
2019-03-03,0,False
2019-03-10,41,False
2019-03-17,43,False
2019-03-24,0,False
2019-03-31,44,False
2019-04-07,84,False
2019-04-14,0,False
2019-04-21,90,False
2019-04-28,42,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,41,False
2019-05-26,43,False
2019-06-02,0,False
2019-06-09,44,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,40,False
2019-07-14,63,False
2019-07-21,65,False
2019-07-28,85,False
2019-08-04,44,False
2019-08-11,45,False
2019-08-18,46,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,62,False
2019-09-15,42,False
2019-09-22,80,False
2019-09-29,0,False
2019-10-06,40,False
2019-10-13,40,False
2019-10-20,0,False
2019-10-27,79,False
2019-11-03,38,False
2019-11-10,0,False
2019-11-17,39,False
2019-11-24,38,False
2019-12-01,0,False
2019-12-08,79,False
2019-12-15,41,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,38,False
2020-01-12,0,False
2020-01-19,38,False
2020-01-26,37,False
2020-02-02,55,False
2020-02-09,54,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,37,False
2020-03-08,86,False
2020-03-15,100,False
2020-03-22,67,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,36,False
2020-04-19,34,False
2020-04-26,68,False
2020-05-03,34,False
2020-05-10,35,False
