date,Parkettleger,isPartial
2018-01-07,37,False
2018-01-14,37,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,36,False
2018-02-11,37,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,73,False
2018-03-11,0,False
2018-03-18,38,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,39,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,40,False
2018-05-06,0,False
2018-05-13,38,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,39,False
2018-06-10,0,False
2018-06-17,40,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,41,False
2018-07-22,41,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,36,False
2018-11-11,37,False
2018-11-18,0,False
2018-11-25,39,False
2018-12-02,0,False
2018-12-09,39,False
2018-12-16,0,False
2018-12-23,46,False
2018-12-30,0,False
2019-01-06,39,False
2019-01-13,74,False
2019-01-20,37,False
2019-01-27,37,False
2019-02-03,0,False
2019-02-10,36,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,37,False
2019-03-17,0,False
2019-03-24,37,False
2019-03-31,74,False
2019-04-07,0,False
2019-04-14,40,False
2019-04-21,0,False
2019-04-28,38,False
2019-05-05,36,False
2019-05-12,73,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,36,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,38,False
2019-06-30,59,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,81,False
2019-08-04,39,False
2019-08-11,73,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,37,False
2019-09-15,50,False
2019-09-22,37,False
2019-09-29,39,False
2019-10-06,0,False
2019-10-13,53,False
2019-10-20,0,False
2019-10-27,34,False
2019-11-03,34,False
2019-11-10,34,False
2019-11-17,35,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,52,False
2019-12-15,35,False
2019-12-22,42,False
2019-12-29,40,False
2020-01-05,0,False
2020-01-12,33,False
2020-01-19,100,False
2020-01-26,0,False
2020-02-02,49,False
2020-02-09,64,False
2020-02-16,68,False
2020-02-23,33,False
2020-03-01,0,False
2020-03-08,31,False
2020-03-15,31,False
2020-03-22,46,False
2020-03-29,31,False
2020-04-05,34,False
2020-04-12,0,False
2020-04-19,31,False
2020-04-26,0,False
2020-05-03,31,False
2020-05-10,31,False
