date,Parkettleger,isPartial
2018-01-07,21,False
2018-01-14,21,False
2018-01-21,43,False
2018-01-28,36,False
2018-02-04,22,False
2018-02-11,44,False
2018-02-18,44,False
2018-02-25,22,False
2018-03-04,44,False
2018-03-11,33,False
2018-03-18,22,False
2018-03-25,31,False
2018-04-01,39,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,43,False
2018-04-29,22,False
2018-05-06,23,False
2018-05-13,29,False
2018-05-20,23,False
2018-05-27,22,False
2018-06-03,22,False
2018-06-10,21,False
2018-06-17,21,False
2018-06-24,22,False
2018-07-01,22,False
2018-07-08,31,False
2018-07-15,23,False
2018-07-22,23,False
2018-07-29,23,False
2018-08-05,23,False
2018-08-12,46,False
2018-08-19,34,False
2018-08-26,22,False
2018-09-02,0,False
2018-09-09,22,False
2018-09-16,44,False
2018-09-23,45,False
2018-09-30,22,False
2018-10-07,22,False
2018-10-14,0,False
2018-10-21,30,False
2018-10-28,33,False
2018-11-04,42,False
2018-11-11,21,False
2018-11-18,21,False
2018-11-25,21,False
2018-12-02,63,False
2018-12-09,28,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,45,False
2019-01-06,27,False
2019-01-13,30,False
2019-01-20,30,False
2019-01-27,20,False
2019-02-03,30,False
2019-02-10,41,False
2019-02-17,31,False
2019-02-24,32,False
2019-03-03,31,False
2019-03-10,27,False
2019-03-17,28,False
2019-03-24,21,False
2019-03-31,41,False
2019-04-07,32,False
2019-04-14,23,False
2019-04-21,33,False
2019-04-28,53,False
2019-05-05,30,False
2019-05-12,42,False
2019-05-19,21,False
2019-05-26,21,False
2019-06-02,27,False
2019-06-09,42,False
2019-06-16,28,False
2019-06-23,42,False
2019-06-30,42,False
2019-07-07,27,False
2019-07-14,22,False
2019-07-21,23,False
2019-07-28,45,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,43,False
2019-08-25,42,False
2019-09-01,27,False
2019-09-08,42,False
2019-09-15,31,False
2019-09-22,41,False
2019-09-29,34,False
2019-10-06,70,False
2019-10-13,0,False
2019-10-20,31,False
2019-10-27,0,False
2019-11-03,57,False
2019-11-10,19,False
2019-11-17,19,False
2019-11-24,28,False
2019-12-01,32,False
2019-12-08,19,False
2019-12-15,19,False
2019-12-22,22,False
2019-12-29,21,False
2020-01-05,28,False
2020-01-12,36,False
2020-01-19,19,False
2020-01-26,18,False
2020-02-02,18,False
2020-02-09,35,False
2020-02-16,19,False
2020-02-23,18,False
2020-03-01,24,False
2020-03-08,50,False
2020-03-15,17,False
2020-03-22,17,False
2020-03-29,0,False
2020-04-05,18,False
2020-04-12,17,False
2020-04-19,28,False
2020-04-26,16,False
2020-05-03,100,False
2020-05-10,34,False
