date,Erdbau,isPartial
2018-01-07,70,False
2018-01-14,47,False
2018-01-21,23,False
2018-01-28,0,False
2018-02-04,24,False
2018-02-11,24,False
2018-02-18,47,False
2018-02-25,24,False
2018-03-04,24,False
2018-03-11,70,False
2018-03-18,24,False
2018-03-25,39,False
2018-04-01,53,False
2018-04-08,75,False
2018-04-15,65,False
2018-04-22,25,False
2018-04-29,26,False
2018-05-06,25,False
2018-05-13,49,False
2018-05-20,25,False
2018-05-27,26,False
2018-06-03,50,False
2018-06-10,37,False
2018-06-17,63,False
2018-06-24,0,False
2018-07-01,26,False
2018-07-08,79,False
2018-07-15,79,False
2018-07-22,52,False
2018-07-29,51,False
2018-08-05,25,False
2018-08-12,51,False
2018-08-19,49,False
2018-08-26,48,False
2018-09-02,24,False
2018-09-09,24,False
2018-09-16,24,False
2018-09-23,24,False
2018-09-30,26,False
2018-10-07,25,False
2018-10-14,0,False
2018-10-21,24,False
2018-10-28,47,False
2018-11-04,47,False
2018-11-11,48,False
2018-11-18,0,False
2018-11-25,50,False
2018-12-02,25,False
2018-12-09,25,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,27,False
2019-01-06,0,False
2019-01-13,24,False
2019-01-20,70,False
2019-01-27,23,False
2019-02-03,24,False
2019-02-10,47,False
2019-02-17,36,False
2019-02-24,36,False
2019-03-03,23,False
2019-03-10,23,False
2019-03-17,24,False
2019-03-24,48,False
2019-03-31,36,False
2019-04-07,24,False
2019-04-14,26,False
2019-04-21,25,False
2019-04-28,0,False
2019-05-05,69,False
2019-05-12,70,False
2019-05-19,23,False
2019-05-26,24,False
2019-06-02,23,False
2019-06-09,60,False
2019-06-16,50,False
2019-06-23,37,False
2019-06-30,100,False
2019-07-07,62,False
2019-07-14,25,False
2019-07-21,66,False
2019-07-28,0,False
2019-08-04,74,False
2019-08-11,35,False
2019-08-18,83,False
2019-08-25,71,False
2019-09-01,23,False
2019-09-08,24,False
2019-09-15,49,False
2019-09-22,36,False
2019-09-29,25,False
2019-10-06,35,False
2019-10-13,33,False
2019-10-20,23,False
2019-10-27,33,False
2019-11-03,44,False
2019-11-10,22,False
2019-11-17,22,False
2019-11-24,43,False
2019-12-01,22,False
2019-12-08,66,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,25,False
2020-01-05,23,False
2020-01-12,64,False
2020-01-19,65,False
2020-01-26,21,False
2020-02-02,74,False
2020-02-09,21,False
2020-02-16,65,False
2020-02-23,21,False
2020-03-01,21,False
2020-03-08,20,False
2020-03-15,20,False
2020-03-22,0,False
2020-03-29,20,False
2020-04-05,33,False
2020-04-12,41,False
2020-04-19,40,False
2020-04-26,40,False
2020-05-03,20,False
2020-05-10,40,False
