date,Schreinerei,isPartial
2018-01-07,19,False
2018-01-14,19,False
2018-01-21,19,False
2018-01-28,19,False
2018-02-04,51,False
2018-02-11,20,False
2018-02-18,22,False
2018-02-25,68,False
2018-03-04,19,False
2018-03-11,19,False
2018-03-18,20,False
2018-03-25,23,False
2018-04-01,24,False
2018-04-08,20,False
2018-04-15,21,False
2018-04-22,41,False
2018-04-29,22,False
2018-05-06,0,False
2018-05-13,22,False
2018-05-20,22,False
2018-05-27,21,False
2018-06-03,20,False
2018-06-10,19,False
2018-06-17,0,False
2018-06-24,21,False
2018-07-01,45,False
2018-07-08,0,False
2018-07-15,24,False
2018-07-22,49,False
2018-07-29,79,False
2018-08-05,25,False
2018-08-12,46,False
2018-08-19,22,False
2018-08-26,63,False
2018-09-02,0,False
2018-09-09,21,False
2018-09-16,42,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,45,False
2018-10-14,43,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,63,False
2018-11-11,21,False
2018-11-18,30,False
2018-11-25,20,False
2018-12-02,21,False
2018-12-09,73,False
2018-12-16,22,False
2018-12-23,35,False
2018-12-30,29,False
2019-01-06,50,False
2019-01-13,19,False
2019-01-20,19,False
2019-01-27,40,False
2019-02-03,40,False
2019-02-10,42,False
2019-02-17,20,False
2019-02-24,0,False
2019-03-03,40,False
2019-03-10,22,False
2019-03-17,33,False
2019-03-24,20,False
2019-03-31,0,False
2019-04-07,21,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,40,False
2019-05-12,63,False
2019-05-19,21,False
2019-05-26,28,False
2019-06-02,35,False
2019-06-09,36,False
2019-06-16,35,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,82,False
2019-07-21,46,False
2019-07-28,0,False
2019-08-04,45,False
2019-08-11,40,False
2019-08-18,37,False
2019-08-25,37,False
2019-09-01,0,False
2019-09-08,34,False
2019-09-15,35,False
2019-09-22,0,False
2019-09-29,36,False
2019-10-06,0,False
2019-10-13,32,False
2019-10-20,34,False
2019-10-27,0,False
2019-11-03,74,False
2019-11-10,39,False
2019-11-17,38,False
2019-11-24,77,False
2019-12-01,57,False
2019-12-08,0,False
2019-12-15,83,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,34,False
2020-01-12,35,False
2020-01-19,39,False
2020-01-26,39,False
2020-02-02,66,False
2020-02-09,32,False
2020-02-16,32,False
2020-02-23,100,False
2020-03-01,0,False
2020-03-08,30,False
2020-03-15,0,False
2020-03-22,35,False
2020-03-29,70,False
2020-04-05,80,False
2020-04-12,39,False
2020-04-19,36,False
2020-04-26,0,False
2020-05-03,0,False
2020-05-10,75,False
2020-05-17,40,False
2020-05-24,55,False
2020-05-31,38,False
2020-06-07,0,False
2020-06-14,53,False
2020-06-21,38,False
2020-06-28,0,False
2020-07-05,41,False
