date,Schreinerei,isPartial
2018-01-07,100,False
2018-01-14,43,False
2018-01-21,29,False
2018-01-28,58,False
2018-02-04,44,False
2018-02-11,31,False
2018-02-18,65,False
2018-02-25,29,False
2018-03-04,29,False
2018-03-11,86,False
2018-03-18,45,False
2018-03-25,33,False
2018-04-01,34,False
2018-04-08,0,False
2018-04-15,61,False
2018-04-22,30,False
2018-04-29,91,False
2018-05-06,32,False
2018-05-13,29,False
2018-05-20,63,False
2018-05-27,61,False
2018-06-03,92,False
2018-06-10,42,False
2018-06-17,93,False
2018-06-24,31,False
2018-07-01,33,False
2018-07-08,35,False
2018-07-15,0,False
2018-07-22,70,False
2018-07-29,55,False
2018-08-05,64,False
2018-08-12,61,False
2018-08-19,31,False
2018-08-26,60,False
2018-09-02,64,False
2018-09-09,47,False
2018-09-16,30,False
2018-09-23,31,False
2018-09-30,35,False
2018-10-07,34,False
2018-10-14,32,False
2018-10-21,31,False
2018-10-28,89,False
2018-11-04,30,False
2018-11-11,75,False
2018-11-18,60,False
2018-11-25,60,False
2018-12-02,30,False
2018-12-09,60,False
2018-12-16,46,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,83,False
2019-01-13,28,False
2019-01-20,72,False
2019-01-27,85,False
2019-02-03,28,False
2019-02-10,0,False
2019-02-17,29,False
2019-02-24,45,False
2019-03-03,46,False
2019-03-10,32,False
2019-03-17,43,False
2019-03-24,43,False
2019-03-31,57,False
2019-04-07,42,False
2019-04-14,33,False
2019-04-21,32,False
2019-04-28,42,False
2019-05-05,83,False
2019-05-12,29,False
2019-05-19,43,False
2019-05-26,31,False
2019-06-02,29,False
2019-06-09,98,False
2019-06-16,43,False
2019-06-23,79,False
2019-06-30,47,False
2019-07-07,33,False
2019-07-14,35,False
2019-07-21,0,False
2019-07-28,37,False
2019-08-04,95,False
2019-08-11,55,False
2019-08-18,0,False
2019-08-25,29,False
2019-09-01,81,False
2019-09-08,0,False
2019-09-15,29,False
2019-09-22,28,False
2019-09-29,76,False
2019-10-06,30,False
2019-10-13,41,False
2019-10-20,65,False
2019-10-27,52,False
2019-11-03,79,False
2019-11-10,78,False
2019-11-17,65,False
2019-11-24,63,False
2019-12-01,54,False
2019-12-08,77,False
2019-12-15,80,False
2019-12-22,31,False
2019-12-29,61,False
2020-01-05,24,False
2020-01-12,50,False
2020-01-19,39,False
2020-01-26,50,False
2020-02-02,38,False
2020-02-09,24,False
2020-02-16,51,False
2020-02-23,52,False
2020-03-01,26,False
2020-03-08,46,False
2020-03-15,64,False
2020-03-22,40,False
2020-03-29,41,False
2020-04-05,22,False
2020-04-12,44,False
2020-04-19,41,False
2020-04-26,22,False
2020-05-03,34,False
2020-05-10,32,False
2020-05-17,23,False
2020-05-24,79,False
2020-05-31,22,False
2020-06-07,64,False
2020-06-14,22,False
2020-06-21,38,False
2020-06-28,88,False
2020-07-05,41,False
