date,Brunnenbauer,isPartial
2018-01-07,9,False
2018-01-14,15,False
2018-01-21,9,False
2018-01-28,9,False
2018-02-04,19,False
2018-02-11,23,False
2018-02-18,9,False
2018-02-25,9,False
2018-03-04,15,False
2018-03-11,25,False
2018-03-18,28,False
2018-03-25,25,False
2018-04-01,10,False
2018-04-08,32,False
2018-04-15,49,False
2018-04-22,25,False
2018-04-29,10,False
2018-05-06,49,False
2018-05-13,34,False
2018-05-20,43,False
2018-05-27,60,False
2018-06-03,38,False
2018-06-10,39,False
2018-06-17,24,False
2018-06-24,32,False
2018-07-01,68,False
2018-07-08,43,False
2018-07-15,48,False
2018-07-22,96,False
2018-07-29,77,False
2018-08-05,70,False
2018-08-12,58,False
2018-08-19,38,False
2018-08-26,41,False
2018-09-02,28,False
2018-09-09,12,False
2018-09-16,34,False
2018-09-23,19,False
2018-09-30,19,False
2018-10-07,16,False
2018-10-14,42,False
2018-10-21,37,False
2018-10-28,18,False
2018-11-04,18,False
2018-11-11,18,False
2018-11-18,31,False
2018-11-25,9,False
2018-12-02,9,False
2018-12-09,14,False
2018-12-16,19,False
2018-12-23,11,False
2018-12-30,19,False
2019-01-06,29,False
2019-01-13,11,False
2019-01-20,8,False
2019-01-27,17,False
2019-02-03,23,False
2019-02-10,13,False
2019-02-17,23,False
2019-02-24,27,False
2019-03-03,20,False
2019-03-10,17,False
2019-03-17,30,False
2019-03-24,33,False
2019-03-31,30,False
2019-04-07,29,False
2019-04-14,74,False
2019-04-21,75,False
2019-04-28,41,False
2019-05-05,49,False
2019-05-12,39,False
2019-05-19,26,False
2019-05-26,39,False
2019-06-02,79,False
2019-06-09,48,False
2019-06-16,42,False
2019-06-23,66,False
2019-06-30,71,False
2019-07-07,41,False
2019-07-14,27,False
2019-07-21,51,False
2019-07-28,25,False
2019-08-04,31,False
2019-08-11,48,False
2019-08-18,46,False
2019-08-25,48,False
2019-09-01,49,False
2019-09-08,30,False
2019-09-15,41,False
2019-09-22,17,False
2019-09-29,9,False
2019-10-06,17,False
2019-10-13,20,False
2019-10-20,14,False
2019-10-27,25,False
2019-11-03,16,False
2019-11-10,12,False
2019-11-17,16,False
2019-11-24,16,False
2019-12-01,21,False
2019-12-08,16,False
2019-12-15,34,False
2019-12-22,16,False
2019-12-29,18,False
2020-01-05,20,False
2020-01-12,23,False
2020-01-19,26,False
2020-01-26,18,False
2020-02-02,16,False
2020-02-09,20,False
2020-02-16,16,False
2020-02-23,8,False
2020-03-01,10,False
2020-03-08,17,False
2020-03-15,16,False
2020-03-22,21,False
2020-03-29,33,False
2020-04-05,69,False
2020-04-12,74,False
2020-04-19,100,False
2020-04-26,72,False
2020-05-03,66,False
2020-05-10,52,False
