date,apprendre la guitare,isPartial
2018-01-07,0,False
2018-01-14,32,False
2018-01-21,32,False
2018-01-28,33,False
2018-02-04,32,False
2018-02-11,0,False
2018-02-18,34,False
2018-02-25,0,False
2018-03-04,31,False
2018-03-11,33,False
2018-03-18,33,False
2018-03-25,33,False
2018-04-01,50,False
2018-04-08,60,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,31,False
2018-05-06,32,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,32,False
2018-06-03,32,False
2018-06-10,0,False
2018-06-17,33,False
2018-06-24,0,False
2018-07-01,31,False
2018-07-08,78,False
2018-07-15,31,False
2018-07-22,31,False
2018-07-29,31,False
2018-08-05,28,False
2018-08-12,58,False
2018-08-19,30,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,32,False
2018-09-16,0,False
2018-09-23,33,False
2018-09-30,100,False
2018-10-07,33,False
2018-10-14,66,False
2018-10-21,0,False
2018-10-28,33,False
2018-11-04,32,False
2018-11-11,33,False
2018-11-18,32,False
2018-11-25,67,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,52,False
2018-12-23,39,False
2018-12-30,55,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,32,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,34,False
2019-02-24,0,False
2019-03-03,35,False
2019-03-10,34,False
2019-03-17,35,False
2019-03-24,0,False
2019-03-31,33,False
2019-04-07,33,False
2019-04-14,32,False
2019-04-21,32,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,32,False
2019-06-02,0,False
2019-06-09,31,False
2019-06-16,32,False
2019-06-23,0,False
2019-06-30,62,False
2019-07-07,59,False
2019-07-14,29,False
2019-07-21,29,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,41,False
2019-08-18,26,False
2019-08-25,25,False
2019-09-01,29,False
2019-09-08,29,False
2019-09-15,29,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,29,False
2019-10-27,29,False
2019-11-03,0,False
2019-11-10,30,False
2019-11-17,0,False
2019-11-24,29,False
2019-12-01,29,False
2019-12-08,29,False
2019-12-15,89,False
2019-12-22,0,False
2019-12-29,31,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,27,False
2020-01-26,28,False
2020-02-02,29,False
2020-02-09,89,False
2020-02-16,57,False
2020-02-23,27,False
2020-03-01,0,False
2020-03-08,27,False
2020-03-15,60,False
2020-03-22,23,False
2020-03-29,39,False
2020-04-05,40,False
2020-04-12,24,False
2020-04-19,45,False
2020-04-26,22,False
2020-05-03,0,False
2020-05-10,23,False
2020-05-17,0,True
