date,Regenerative Energie,isPartial
2018-01-07,43,False
2018-01-14,32,False
2018-01-21,32,False
2018-01-28,42,False
2018-02-04,76,False
2018-02-11,22,False
2018-02-18,36,False
2018-02-25,21,False
2018-03-04,21,False
2018-03-11,57,False
2018-03-18,43,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,33,False
2018-04-15,45,False
2018-04-22,22,False
2018-04-29,45,False
2018-05-06,23,False
2018-05-13,32,False
2018-05-20,23,False
2018-05-27,0,False
2018-06-03,43,False
2018-06-10,21,False
2018-06-17,43,False
2018-06-24,33,False
2018-07-01,36,False
2018-07-08,22,False
2018-07-15,22,False
2018-07-22,22,False
2018-07-29,0,False
2018-08-05,22,False
2018-08-12,23,False
2018-08-19,22,False
2018-08-26,33,False
2018-09-02,22,False
2018-09-09,44,False
2018-09-16,33,False
2018-09-23,22,False
2018-09-30,29,False
2018-10-07,0,False
2018-10-14,54,False
2018-10-21,43,False
2018-10-28,21,False
2018-11-04,41,False
2018-11-11,53,False
2018-11-18,62,False
2018-11-25,32,False
2018-12-02,21,False
2018-12-09,21,False
2018-12-16,43,False
2018-12-23,25,False
2018-12-30,34,False
2019-01-06,20,False
2019-01-13,33,False
2019-01-20,26,False
2019-01-27,29,False
2019-02-03,100,False
2019-02-10,41,False
2019-02-17,0,False
2019-02-24,49,False
2019-03-03,30,False
2019-03-10,20,False
2019-03-17,52,False
2019-03-24,41,False
2019-03-31,63,False
2019-04-07,27,False
2019-04-14,30,False
2019-04-21,33,False
2019-04-28,0,False
2019-05-05,27,False
2019-05-12,34,False
2019-05-19,0,False
2019-05-26,28,False
2019-06-02,20,False
2019-06-09,53,False
2019-06-16,28,False
2019-06-23,21,False
2019-06-30,31,False
2019-07-07,20,False
2019-07-14,50,False
2019-07-21,22,False
2019-07-28,0,False
2019-08-04,33,False
2019-08-11,21,False
2019-08-18,50,False
2019-08-25,41,False
2019-09-01,40,False
2019-09-08,21,False
2019-09-15,31,False
2019-09-22,40,False
2019-09-29,20,False
2019-10-06,46,False
2019-10-13,30,False
2019-10-20,30,False
2019-10-27,20,False
2019-11-03,47,False
2019-11-10,19,False
2019-11-17,48,False
2019-11-24,37,False
2019-12-01,29,False
2019-12-08,29,False
2019-12-15,39,False
2019-12-22,44,False
2019-12-29,0,False
2020-01-05,28,False
2020-01-12,47,False
2020-01-19,37,False
2020-01-26,0,False
2020-02-02,36,False
2020-02-09,36,False
2020-02-16,18,False
2020-02-23,30,False
2020-03-01,18,False
2020-03-08,34,False
2020-03-15,49,False
2020-03-22,41,False
2020-03-29,24,False
2020-04-05,45,False
2020-04-12,29,False
2020-04-19,33,False
2020-04-26,16,False
2020-05-03,33,False
2020-05-10,39,False
