date,portaconfetti,isPartial
2018-01-07,23,False
2018-01-14,67,False
2018-01-21,78,False
2018-01-28,100,False
2018-02-04,21,False
2018-02-11,44,False
2018-02-18,43,False
2018-02-25,31,False
2018-03-04,33,False
2018-03-11,22,False
2018-03-18,32,False
2018-03-25,46,False
2018-04-01,47,False
2018-04-08,45,False
2018-04-15,57,False
2018-04-22,24,False
2018-04-29,69,False
2018-05-06,34,False
2018-05-13,23,False
2018-05-20,45,False
2018-05-27,35,False
2018-06-03,93,False
2018-06-10,42,False
2018-06-17,33,False
2018-06-24,54,False
2018-07-01,89,False
2018-07-08,22,False
2018-07-15,33,False
2018-07-22,21,False
2018-07-29,43,False
2018-08-05,31,False
2018-08-12,19,False
2018-08-19,19,False
2018-08-26,19,False
2018-09-02,52,False
2018-09-09,54,False
2018-09-16,43,False
2018-09-23,22,False
2018-09-30,66,False
2018-10-07,47,False
2018-10-14,70,False
2018-10-21,23,False
2018-10-28,23,False
2018-11-04,44,False
2018-11-11,23,False
2018-11-18,22,False
2018-11-25,33,False
2018-12-02,24,False
2018-12-09,23,False
2018-12-16,47,False
2018-12-23,49,False
2018-12-30,22,False
2019-01-06,43,False
2019-01-13,43,False
2019-01-20,71,False
2019-01-27,0,False
2019-02-03,20,False
2019-02-10,50,False
2019-02-17,42,False
2019-02-24,51,False
2019-03-03,65,False
2019-03-10,62,False
2019-03-17,43,False
2019-03-24,52,False
2019-03-31,62,False
2019-04-07,72,False
2019-04-14,75,False
2019-04-21,33,False
2019-04-28,40,False
2019-05-05,51,False
2019-05-12,20,False
2019-05-19,30,False
2019-05-26,29,False
2019-06-02,21,False
2019-06-09,64,False
2019-06-16,32,False
2019-06-23,21,False
2019-06-30,63,False
2019-07-07,59,False
2019-07-14,40,False
2019-07-21,0,False
2019-07-28,20,False
2019-08-04,0,False
2019-08-11,41,False
2019-08-18,39,False
2019-08-25,59,False
2019-09-01,38,False
2019-09-08,38,False
2019-09-15,75,False
2019-09-22,19,False
2019-09-29,58,False
2019-10-06,20,False
2019-10-13,30,False
2019-10-20,19,False
2019-10-27,39,False
2019-11-03,56,False
2019-11-10,19,False
2019-11-17,19,False
2019-11-24,28,False
2019-12-01,20,False
2019-12-08,30,False
2019-12-15,50,False
2019-12-22,21,False
2019-12-29,40,False
2020-01-05,38,False
2020-01-12,54,False
2020-01-19,28,False
2020-01-26,37,False
2020-02-02,44,False
2020-02-09,74,False
2020-02-16,73,False
2020-02-23,61,False
2020-03-01,26,False
2020-03-08,0,False
2020-03-15,31,False
2020-03-22,14,False
2020-03-29,15,False
2020-04-05,0,False
2020-04-12,16,False
2020-04-19,15,False
2020-04-26,27,True
