date,Dach erneuern,isPartial
2018-01-07,0,False
2018-01-14,40,False
2018-01-21,61,False
2018-01-28,0,False
2018-02-04,56,False
2018-02-11,0,False
2018-02-18,41,False
2018-02-25,41,False
2018-03-04,41,False
2018-03-11,68,False
2018-03-18,41,False
2018-03-25,0,False
2018-04-01,43,False
2018-04-08,68,False
2018-04-15,42,False
2018-04-22,40,False
2018-04-29,42,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,86,False
2018-05-27,81,False
2018-06-03,41,False
2018-06-10,39,False
2018-06-17,0,False
2018-06-24,41,False
2018-07-01,0,False
2018-07-08,39,False
2018-07-15,42,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,43,False
2018-08-12,0,False
2018-08-19,42,False
2018-08-26,41,False
2018-09-02,0,False
2018-09-09,42,False
2018-09-16,41,False
2018-09-23,63,False
2018-09-30,84,False
2018-10-07,0,False
2018-10-14,42,False
2018-10-21,42,False
2018-10-28,0,False
2018-11-04,59,False
2018-11-11,40,False
2018-11-18,0,False
2018-11-25,39,False
2018-12-02,39,False
2018-12-09,39,False
2018-12-16,40,False
2018-12-23,46,False
2018-12-30,43,False
2019-01-06,38,False
2019-01-13,37,False
2019-01-20,37,False
2019-01-27,0,False
2019-02-03,56,False
2019-02-10,58,False
2019-02-17,58,False
2019-02-24,40,False
2019-03-03,0,False
2019-03-10,37,False
2019-03-17,39,False
2019-03-24,39,False
2019-03-31,38,False
2019-04-07,39,False
2019-04-14,42,False
2019-04-21,42,False
2019-04-28,40,False
2019-05-05,38,False
2019-05-12,0,False
2019-05-19,38,False
2019-05-26,40,False
2019-06-02,38,False
2019-06-09,40,False
2019-06-16,40,False
2019-06-23,39,False
2019-06-30,58,False
2019-07-07,77,False
2019-07-14,40,False
2019-07-21,0,False
2019-07-28,71,False
2019-08-04,100,False
2019-08-11,41,False
2019-08-18,81,False
2019-08-25,78,False
2019-09-01,0,False
2019-09-08,39,False
2019-09-15,65,False
2019-09-22,77,False
2019-09-29,39,False
2019-10-06,57,False
2019-10-13,38,False
2019-10-20,76,False
2019-10-27,56,False
2019-11-03,36,False
2019-11-10,36,False
2019-11-17,71,False
2019-11-24,35,False
2019-12-01,36,False
2019-12-08,0,False
2019-12-15,72,False
2019-12-22,42,False
2019-12-29,59,False
2020-01-05,34,False
2020-01-12,33,False
2020-01-19,35,False
2020-01-26,0,False
2020-02-02,34,False
2020-02-09,55,False
2020-02-16,35,False
2020-02-23,33,False
2020-03-01,33,False
2020-03-08,32,False
2020-03-15,0,False
2020-03-22,47,False
2020-03-29,46,False
2020-04-05,51,False
2020-04-12,32,False
2020-04-19,0,False
2020-04-26,31,False
2020-05-03,31,False
2020-05-10,32,False
