date,traiteur prestige,isPartial
2018-01-07,78,False
2018-01-14,39,False
2018-01-21,40,False
2018-01-28,59,False
2018-02-04,0,False
2018-02-11,40,False
2018-02-18,40,False
2018-02-25,40,False
2018-03-04,39,False
2018-03-11,40,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,41,False
2018-04-08,40,False
2018-04-15,43,False
2018-04-22,41,False
2018-04-29,82,False
2018-05-06,0,False
2018-05-13,40,False
2018-05-20,82,False
2018-05-27,40,False
2018-06-03,40,False
2018-06-10,77,False
2018-06-17,40,False
2018-06-24,67,False
2018-07-01,39,False
2018-07-08,41,False
2018-07-15,43,False
2018-07-22,0,False
2018-07-29,43,False
2018-08-05,44,False
2018-08-12,0,False
2018-08-19,44,False
2018-08-26,0,False
2018-09-02,82,False
2018-09-09,41,False
2018-09-16,41,False
2018-09-23,0,False
2018-09-30,41,False
2018-10-07,41,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,41,False
2018-11-04,0,False
2018-11-11,53,False
2018-11-18,0,False
2018-11-25,80,False
2018-12-02,80,False
2018-12-09,41,False
2018-12-16,62,False
2018-12-23,47,False
2018-12-30,44,False
2019-01-06,40,False
2019-01-13,100,False
2019-01-20,39,False
2019-01-27,38,False
2019-02-03,39,False
2019-02-10,41,False
2019-02-17,41,False
2019-02-24,61,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,41,False
2019-03-24,41,False
2019-03-31,0,False
2019-04-07,41,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,39,False
2019-05-12,79,False
2019-05-19,0,False
2019-05-26,40,False
2019-06-02,37,False
2019-06-09,57,False
2019-06-16,60,False
2019-06-23,0,False
2019-06-30,40,False
2019-07-07,39,False
2019-07-14,0,False
2019-07-21,41,False
2019-07-28,42,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,63,False
2019-08-25,39,False
2019-09-01,38,False
2019-09-08,38,False
2019-09-15,38,False
2019-09-22,55,False
2019-09-29,73,False
2019-10-06,37,False
2019-10-13,0,False
2019-10-20,37,False
2019-10-27,37,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,35,False
2019-12-01,53,False
2019-12-08,35,False
2019-12-15,0,False
2019-12-22,40,False
2019-12-29,38,False
2020-01-05,35,False
2020-01-12,45,False
2020-01-19,35,False
2020-01-26,52,False
2020-02-02,35,False
2020-02-09,34,False
2020-02-16,53,False
2020-02-23,68,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,31,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,59,False
2020-05-03,30,False
2020-05-10,31,False
2020-05-17,0,True
