date,Schimmelsanierung,isPartial
2018-01-07,64,False
2018-01-14,31,False
2018-01-21,0,False
2018-01-28,42,False
2018-02-04,33,False
2018-02-11,87,False
2018-02-18,43,False
2018-02-25,43,False
2018-03-04,53,False
2018-03-11,21,False
2018-03-18,32,False
2018-03-25,0,False
2018-04-01,35,False
2018-04-08,22,False
2018-04-15,45,False
2018-04-22,32,False
2018-04-29,22,False
2018-05-06,23,False
2018-05-13,21,False
2018-05-20,23,False
2018-05-27,0,False
2018-06-03,22,False
2018-06-10,21,False
2018-06-17,63,False
2018-06-24,22,False
2018-07-01,32,False
2018-07-08,0,False
2018-07-15,33,False
2018-07-22,45,False
2018-07-29,45,False
2018-08-05,22,False
2018-08-12,56,False
2018-08-19,22,False
2018-08-26,44,False
2018-09-02,44,False
2018-09-09,22,False
2018-09-16,21,False
2018-09-23,44,False
2018-09-30,43,False
2018-10-07,22,False
2018-10-14,0,False
2018-10-21,43,False
2018-10-28,21,False
2018-11-04,41,False
2018-11-11,0,False
2018-11-18,31,False
2018-11-25,62,False
2018-12-02,21,False
2018-12-09,63,False
2018-12-16,43,False
2018-12-23,49,False
2018-12-30,67,False
2019-01-06,70,False
2019-01-13,49,False
2019-01-20,39,False
2019-01-27,49,False
2019-02-03,100,False
2019-02-10,71,False
2019-02-17,41,False
2019-02-24,52,False
2019-03-03,20,False
2019-03-10,20,False
2019-03-17,21,False
2019-03-24,83,False
2019-03-31,31,False
2019-04-07,31,False
2019-04-14,34,False
2019-04-21,22,False
2019-04-28,30,False
2019-05-05,50,False
2019-05-12,21,False
2019-05-19,20,False
2019-05-26,42,False
2019-06-02,0,False
2019-06-09,42,False
2019-06-16,52,False
2019-06-23,52,False
2019-06-30,20,False
2019-07-07,20,False
2019-07-14,53,False
2019-07-21,22,False
2019-07-28,0,False
2019-08-04,22,False
2019-08-11,42,False
2019-08-18,53,False
2019-08-25,21,False
2019-09-01,20,False
2019-09-08,20,False
2019-09-15,21,False
2019-09-22,40,False
2019-09-29,30,False
2019-10-06,20,False
2019-10-13,49,False
2019-10-20,39,False
2019-10-27,38,False
2019-11-03,19,False
2019-11-10,67,False
2019-11-17,38,False
2019-11-24,18,False
2019-12-01,38,False
2019-12-08,48,False
2019-12-15,39,False
2019-12-22,34,False
2019-12-29,41,False
2020-01-05,18,False
2020-01-12,18,False
2020-01-19,55,False
2020-01-26,45,False
2020-02-02,54,False
2020-02-09,53,False
2020-02-16,82,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,34,False
2020-03-15,16,False
2020-03-22,48,False
2020-03-29,16,False
2020-04-05,18,False
2020-04-12,51,False
2020-04-19,33,False
2020-04-26,0,False
2020-05-03,33,False
2020-05-10,25,False
