date,Abwassertank,isPartial
2018-01-07,27,False
2018-01-14,27,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,28,False
2018-02-11,28,False
2018-02-18,28,False
2018-02-25,27,False
2018-03-04,81,False
2018-03-11,27,False
2018-03-18,28,False
2018-03-25,57,False
2018-04-01,28,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,28,False
2018-05-06,29,False
2018-05-13,0,False
2018-05-20,28,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,53,False
2018-06-17,27,False
2018-06-24,27,False
2018-07-01,29,False
2018-07-08,28,False
2018-07-15,46,False
2018-07-22,29,False
2018-07-29,27,False
2018-08-05,39,False
2018-08-12,39,False
2018-08-19,26,False
2018-08-26,27,False
2018-09-02,27,False
2018-09-09,0,False
2018-09-16,82,False
2018-09-23,27,False
2018-09-30,28,False
2018-10-07,57,False
2018-10-14,0,False
2018-10-21,52,False
2018-10-28,26,False
2018-11-04,26,False
2018-11-11,27,False
2018-11-18,26,False
2018-11-25,27,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,28,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,25,False
2019-02-03,26,False
2019-02-10,39,False
2019-02-17,26,False
2019-02-24,0,False
2019-03-03,26,False
2019-03-10,25,False
2019-03-17,26,False
2019-03-24,26,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,45,False
2019-04-28,0,False
2019-05-05,26,False
2019-05-12,26,False
2019-05-19,0,False
2019-05-26,52,False
2019-06-02,25,False
2019-06-09,25,False
2019-06-16,38,False
2019-06-23,0,False
2019-06-30,26,False
2019-07-07,26,False
2019-07-14,37,False
2019-07-21,29,False
2019-07-28,27,False
2019-08-04,27,False
2019-08-11,36,False
2019-08-18,51,False
2019-08-25,25,False
2019-09-01,37,False
2019-09-08,25,False
2019-09-15,50,False
2019-09-22,100,False
2019-09-29,25,False
2019-10-06,25,False
2019-10-13,0,False
2019-10-20,25,False
2019-10-27,36,False
2019-11-03,23,False
2019-11-10,24,False
2019-11-17,48,False
2019-11-24,23,False
2019-12-01,23,False
2019-12-08,23,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,22,False
2020-01-12,44,False
2020-01-19,34,False
2020-01-26,23,False
2020-02-02,22,False
2020-02-09,0,False
2020-02-16,46,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,21,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,41,False
2020-04-05,23,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,27,False
2020-05-03,21,False
2020-05-10,21,False
