date,Partyhütte mieten,isPartial
2018-01-07,43,False
2018-01-14,42,False
2018-01-21,0,False
2018-01-28,42,False
2018-02-04,43,False
2018-02-11,44,False
2018-02-18,0,False
2018-02-25,43,False
2018-03-04,87,False
2018-03-11,64,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,46,False
2018-04-08,44,False
2018-04-15,45,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,45,False
2018-05-13,43,False
2018-05-20,0,False
2018-05-27,45,False
2018-06-03,89,False
2018-06-10,42,False
2018-06-17,42,False
2018-06-24,44,False
2018-07-01,43,False
2018-07-08,0,False
2018-07-15,45,False
2018-07-22,45,False
2018-07-29,45,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,45,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,43,False
2018-09-23,66,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,43,False
2018-10-21,43,False
2018-10-28,42,False
2018-11-04,41,False
2018-11-11,42,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,42,False
2018-12-09,43,False
2018-12-16,65,False
2018-12-23,100,False
2018-12-30,45,False
2019-01-06,60,False
2019-01-13,79,False
2019-01-20,39,False
2019-01-27,79,False
2019-02-03,41,False
2019-02-10,41,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,40,False
2019-03-17,42,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,45,False
2019-04-21,0,False
2019-04-28,41,False
2019-05-05,40,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,42,False
2019-06-02,0,False
2019-06-09,42,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,41,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,43,False
2019-08-04,44,False
2019-08-11,0,False
2019-08-18,43,False
2019-08-25,42,False
2019-09-01,82,False
2019-09-08,41,False
2019-09-15,42,False
2019-09-22,41,False
2019-09-29,0,False
2019-10-06,54,False
2019-10-13,39,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,37,False
2019-11-10,39,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,39,False
2019-12-22,90,False
2019-12-29,41,False
2020-01-05,74,False
2020-01-12,53,False
2020-01-19,73,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,71,False
2020-02-16,37,False
2020-02-23,0,False
2020-03-01,36,False
2020-03-08,34,False
2020-03-15,33,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,34,False
2020-04-26,0,False
2020-05-03,33,False
2020-05-10,33,False
2020-05-17,0,True
