date,scatoline portaconfetti,isPartial
2018-01-07,0,False
2018-01-14,22,False
2018-01-21,22,False
2018-01-28,22,False
2018-02-04,22,False
2018-02-11,60,False
2018-02-18,22,False
2018-02-25,43,False
2018-03-04,45,False
2018-03-11,68,False
2018-03-18,34,False
2018-03-25,48,False
2018-04-01,0,False
2018-04-08,24,False
2018-04-15,24,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,45,False
2018-05-13,24,False
2018-05-20,35,False
2018-05-27,49,False
2018-06-03,24,False
2018-06-10,33,False
2018-06-17,23,False
2018-06-24,0,False
2018-07-01,46,False
2018-07-08,23,False
2018-07-15,0,False
2018-07-22,24,False
2018-07-29,48,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,50,False
2018-09-02,23,False
2018-09-09,46,False
2018-09-16,0,False
2018-09-23,23,False
2018-09-30,23,False
2018-10-07,24,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,23,False
2018-11-04,23,False
2018-11-11,50,False
2018-11-18,24,False
2018-11-25,36,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,26,False
2018-12-30,25,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,32,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,67,False
2019-02-17,22,False
2019-02-24,22,False
2019-03-03,23,False
2019-03-10,33,False
2019-03-17,35,False
2019-03-24,0,False
2019-03-31,23,False
2019-04-07,23,False
2019-04-14,36,False
2019-04-21,24,False
2019-04-28,22,False
2019-05-05,45,False
2019-05-12,34,False
2019-05-19,33,False
2019-05-26,0,False
2019-06-02,46,False
2019-06-09,24,False
2019-06-16,47,False
2019-06-23,24,False
2019-06-30,100,False
2019-07-07,72,False
2019-07-14,0,False
2019-07-21,25,False
2019-07-28,25,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,52,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,22,False
2019-09-15,21,False
2019-09-22,31,False
2019-09-29,21,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,21,False
2019-10-27,21,False
2019-11-03,0,False
2019-11-10,53,False
2019-11-17,21,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,22,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,21,False
2020-01-19,21,False
2020-01-26,20,False
2020-02-02,20,False
2020-02-09,21,False
2020-02-16,0,False
2020-02-23,19,False
2020-03-01,19,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,17,False
2020-04-05,0,False
2020-04-12,36,False
2020-04-19,0,False
2020-04-26,0,True
