date,scatoline portaconfetti,isPartial
2018-01-07,82,False
2018-01-14,20,False
2018-01-21,50,False
2018-01-28,10,False
2018-02-04,49,False
2018-02-11,50,False
2018-02-18,39,False
2018-02-25,48,False
2018-03-04,48,False
2018-03-11,49,False
2018-03-18,39,False
2018-03-25,21,False
2018-04-01,65,False
2018-04-08,100,False
2018-04-15,71,False
2018-04-22,32,False
2018-04-29,51,False
2018-05-06,50,False
2018-05-13,50,False
2018-05-20,20,False
2018-05-27,0,False
2018-06-03,20,False
2018-06-10,48,False
2018-06-17,50,False
2018-06-24,71,False
2018-07-01,30,False
2018-07-08,50,False
2018-07-15,0,False
2018-07-22,31,False
2018-07-29,31,False
2018-08-05,22,False
2018-08-12,23,False
2018-08-19,22,False
2018-08-26,52,False
2018-09-02,59,False
2018-09-09,40,False
2018-09-16,58,False
2018-09-23,69,False
2018-09-30,20,False
2018-10-07,10,False
2018-10-14,20,False
2018-10-21,30,False
2018-10-28,39,False
2018-11-04,38,False
2018-11-11,20,False
2018-11-18,10,False
2018-11-25,30,False
2018-12-02,30,False
2018-12-09,0,False
2018-12-16,10,False
2018-12-23,0,False
2018-12-30,22,False
2019-01-06,20,False
2019-01-13,29,False
2019-01-20,47,False
2019-01-27,56,False
2019-02-03,66,False
2019-02-10,76,False
2019-02-17,29,False
2019-02-24,87,False
2019-03-03,10,False
2019-03-10,30,False
2019-03-17,20,False
2019-03-24,70,False
2019-03-31,70,False
2019-04-07,49,False
2019-04-14,30,False
2019-04-21,64,False
2019-04-28,49,False
2019-05-05,10,False
2019-05-12,38,False
2019-05-19,66,False
2019-05-26,37,False
2019-06-02,20,False
2019-06-09,10,False
2019-06-16,30,False
2019-06-23,71,False
2019-06-30,81,False
2019-07-07,39,False
2019-07-14,10,False
2019-07-21,51,False
2019-07-28,31,False
2019-08-04,11,False
2019-08-11,11,False
2019-08-18,53,False
2019-08-25,48,False
2019-09-01,36,False
2019-09-08,28,False
2019-09-15,46,False
2019-09-22,46,False
2019-09-29,47,False
2019-10-06,38,False
2019-10-13,47,False
2019-10-20,45,False
2019-10-27,27,False
2019-11-03,35,False
2019-11-10,18,False
2019-11-17,0,False
2019-11-24,9,False
2019-12-01,19,False
2019-12-08,19,False
2019-12-15,9,False
2019-12-22,11,False
2019-12-29,31,False
2020-01-05,18,False
2020-01-12,78,False
2020-01-19,26,False
2020-01-26,86,False
2020-02-02,17,False
2020-02-09,44,False
2020-02-16,35,False
2020-02-23,73,False
2020-03-01,49,False
2020-03-08,8,False
2020-03-15,8,False
2020-03-22,7,False
2020-03-29,0,False
2020-04-05,16,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,13,True
