date,torta soffice,isPartial
2018-01-07,10,False
2018-01-14,20,False
2018-01-21,24,False
2018-01-28,27,False
2018-02-04,29,False
2018-02-11,28,False
2018-02-18,68,False
2018-02-25,43,False
2018-03-04,46,False
2018-03-11,33,False
2018-03-18,36,False
2018-03-25,34,False
2018-04-01,15,False
2018-04-08,18,False
2018-04-15,14,False
2018-04-22,22,False
2018-04-29,37,False
2018-05-06,17,False
2018-05-13,15,False
2018-05-20,29,False
2018-05-27,14,False
2018-06-03,16,False
2018-06-10,9,False
2018-06-17,15,False
2018-06-24,9,False
2018-07-01,14,False
2018-07-08,14,False
2018-07-15,14,False
2018-07-22,14,False
2018-07-29,14,False
2018-08-05,15,False
2018-08-12,12,False
2018-08-19,16,False
2018-08-26,19,False
2018-09-02,25,False
2018-09-09,18,False
2018-09-16,21,False
2018-09-23,37,False
2018-09-30,29,False
2018-10-07,45,False
2018-10-14,18,False
2018-10-21,38,False
2018-10-28,52,False
2018-11-04,46,False
2018-11-11,33,False
2018-11-18,20,False
2018-11-25,31,False
2018-12-02,37,False
2018-12-09,16,False
2018-12-16,7,False
2018-12-23,6,False
2018-12-30,10,False
2019-01-06,13,False
2019-01-13,34,False
2019-01-20,23,False
2019-01-27,25,False
2019-02-03,22,False
2019-02-10,36,False
2019-02-17,27,False
2019-02-24,46,False
2019-03-03,36,False
2019-03-10,13,False
2019-03-17,20,False
2019-03-24,32,False
2019-03-31,15,False
2019-04-07,18,False
2019-04-14,26,False
2019-04-21,14,False
2019-04-28,17,False
2019-05-05,22,False
2019-05-12,33,False
2019-05-19,10,False
2019-05-26,28,False
2019-06-02,17,False
2019-06-09,10,False
2019-06-16,15,False
2019-06-23,13,False
2019-06-30,8,False
2019-07-07,14,False
2019-07-14,16,False
2019-07-21,5,False
2019-07-28,19,False
2019-08-04,18,False
2019-08-11,13,False
2019-08-18,12,False
2019-08-25,11,False
2019-09-01,9,False
2019-09-08,17,False
2019-09-15,14,False
2019-09-22,23,False
2019-09-29,23,False
2019-10-06,41,False
2019-10-13,26,False
2019-10-20,23,False
2019-10-27,52,False
2019-11-03,29,False
2019-11-10,41,False
2019-11-17,26,False
2019-11-24,28,False
2019-12-01,33,False
2019-12-08,28,False
2019-12-15,22,False
2019-12-22,18,False
2019-12-29,22,False
2020-01-05,31,False
2020-01-12,29,False
2020-01-19,27,False
2020-01-26,27,False
2020-02-02,46,False
2020-02-09,33,False
2020-02-16,27,False
2020-02-23,30,False
2020-03-01,26,False
2020-03-08,55,False
2020-03-15,74,False
2020-03-22,100,False
2020-03-29,85,False
2020-04-05,64,False
2020-04-12,37,False
2020-04-19,78,False
2020-04-26,57,True
