date,torta soffice,isPartial
2018-01-07,17,False
2018-01-14,34,False
2018-01-21,0,False
2018-01-28,16,False
2018-02-04,33,False
2018-02-11,17,False
2018-02-18,16,False
2018-02-25,16,False
2018-03-04,49,False
2018-03-11,40,False
2018-03-18,100,False
2018-03-25,26,False
2018-04-01,27,False
2018-04-08,17,False
2018-04-15,0,False
2018-04-22,18,False
2018-04-29,17,False
2018-05-06,17,False
2018-05-13,17,False
2018-05-20,17,False
2018-05-27,17,False
2018-06-03,17,False
2018-06-10,32,False
2018-06-17,68,False
2018-06-24,16,False
2018-07-01,16,False
2018-07-08,0,False
2018-07-15,16,False
2018-07-22,0,False
2018-07-29,17,False
2018-08-05,34,False
2018-08-12,19,False
2018-08-19,0,False
2018-08-26,16,False
2018-09-02,17,False
2018-09-09,17,False
2018-09-16,16,False
2018-09-23,34,False
2018-09-30,17,False
2018-10-07,17,False
2018-10-14,43,False
2018-10-21,34,False
2018-10-28,49,False
2018-11-04,33,False
2018-11-11,43,False
2018-11-18,57,False
2018-11-25,33,False
2018-12-02,17,False
2018-12-09,25,False
2018-12-16,0,False
2018-12-23,18,False
2018-12-30,0,False
2019-01-06,33,False
2019-01-13,0,False
2019-01-20,14,False
2019-01-27,43,False
2019-02-03,14,False
2019-02-10,22,False
2019-02-17,75,False
2019-02-24,15,False
2019-03-03,30,False
2019-03-10,15,False
2019-03-17,37,False
2019-03-24,15,False
2019-03-31,15,False
2019-04-07,15,False
2019-04-14,16,False
2019-04-21,16,False
2019-04-28,0,False
2019-05-05,14,False
2019-05-12,14,False
2019-05-19,14,False
2019-05-26,27,False
2019-06-02,15,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,15,False
2019-07-07,14,False
2019-07-14,15,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,33,False
2019-08-11,18,False
2019-08-18,32,False
2019-08-25,15,False
2019-09-01,28,False
2019-09-08,14,False
2019-09-15,14,False
2019-09-22,13,False
2019-09-29,40,False
2019-10-06,35,False
2019-10-13,48,False
2019-10-20,14,False
2019-10-27,48,False
2019-11-03,32,False
2019-11-10,13,False
2019-11-17,26,False
2019-11-24,27,False
2019-12-01,27,False
2019-12-08,14,False
2019-12-15,14,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,30,False
2020-01-12,39,False
2020-01-19,27,False
2020-01-26,38,False
2020-02-02,13,False
2020-02-09,26,False
2020-02-16,13,False
2020-02-23,18,False
2020-03-01,24,False
2020-03-08,40,False
2020-03-15,88,False
2020-03-22,59,False
2020-03-29,57,False
2020-04-05,30,False
2020-04-12,42,False
2020-04-19,58,False
2020-04-26,39,True
