date,centre yoga,isPartial
2018-01-07,42,False
2018-01-14,84,False
2018-01-21,42,False
2018-01-28,86,False
2018-02-04,85,False
2018-02-11,83,False
2018-02-18,42,False
2018-02-25,0,False
2018-03-04,65,False
2018-03-11,64,False
2018-03-18,43,False
2018-03-25,0,False
2018-04-01,44,False
2018-04-08,41,False
2018-04-15,44,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,85,False
2018-05-13,42,False
2018-05-20,44,False
2018-05-27,43,False
2018-06-03,42,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,84,False
2018-07-08,42,False
2018-07-15,43,False
2018-07-22,0,False
2018-07-29,42,False
2018-08-05,41,False
2018-08-12,62,False
2018-08-19,0,False
2018-08-26,43,False
2018-09-02,43,False
2018-09-09,58,False
2018-09-16,65,False
2018-09-23,88,False
2018-09-30,66,False
2018-10-07,44,False
2018-10-14,0,False
2018-10-21,47,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,45,False
2018-11-18,0,False
2018-11-25,45,False
2018-12-02,91,False
2018-12-09,46,False
2018-12-16,46,False
2018-12-23,53,False
2018-12-30,49,False
2019-01-06,67,False
2019-01-13,66,False
2019-01-20,0,False
2019-01-27,63,False
2019-02-03,44,False
2019-02-10,46,False
2019-02-17,0,False
2019-02-24,44,False
2019-03-03,43,False
2019-03-10,45,False
2019-03-17,45,False
2019-03-24,0,False
2019-03-31,88,False
2019-04-07,0,False
2019-04-14,45,False
2019-04-21,83,False
2019-04-28,43,False
2019-05-05,43,False
2019-05-12,0,False
2019-05-19,41,False
2019-05-26,0,False
2019-06-02,79,False
2019-06-09,39,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,40,False
2019-07-07,0,False
2019-07-14,41,False
2019-07-21,41,False
2019-07-28,0,False
2019-08-04,41,False
2019-08-11,56,False
2019-08-18,57,False
2019-08-25,37,False
2019-09-01,39,False
2019-09-08,100,False
2019-09-15,52,False
2019-09-22,39,False
2019-09-29,0,False
2019-10-06,40,False
2019-10-13,39,False
2019-10-20,79,False
2019-10-27,40,False
2019-11-03,39,False
2019-11-10,39,False
2019-11-17,37,False
2019-11-24,37,False
2019-12-01,38,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,85,False
2019-12-29,0,False
2020-01-05,61,False
2020-01-12,36,False
2020-01-19,36,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,37,False
2020-02-16,74,False
2020-02-23,0,False
2020-03-01,69,False
2020-03-08,47,False
2020-03-15,0,False
2020-03-22,46,False
2020-03-29,0,False
2020-04-05,61,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,29,False
2020-05-03,0,False
2020-05-10,0,False
2020-05-17,0,False
2020-05-24,32,False
2020-05-31,32,False
2020-06-07,31,False
2020-06-14,0,False
2020-06-21,0,True
