date,centre yoga,isPartial
2018-01-07,42,False
2018-01-14,30,False
2018-01-21,42,False
2018-01-28,38,False
2018-02-04,55,False
2018-02-11,17,False
2018-02-18,40,False
2018-02-25,32,False
2018-03-04,39,False
2018-03-11,22,False
2018-03-18,39,False
2018-03-25,20,False
2018-04-01,31,False
2018-04-08,26,False
2018-04-15,51,False
2018-04-22,23,False
2018-04-29,22,False
2018-05-06,14,False
2018-05-13,39,False
2018-05-20,20,False
2018-05-27,38,False
2018-06-03,33,False
2018-06-10,49,False
2018-06-17,25,False
2018-06-24,26,False
2018-07-01,21,False
2018-07-08,60,False
2018-07-15,43,False
2018-07-22,34,False
2018-07-29,15,False
2018-08-05,64,False
2018-08-12,50,False
2018-08-19,61,False
2018-08-26,41,False
2018-09-02,100,False
2018-09-09,34,False
2018-09-16,59,False
2018-09-23,43,False
2018-09-30,32,False
2018-10-07,42,False
2018-10-14,36,False
2018-10-21,31,False
2018-10-28,27,False
2018-11-04,38,False
2018-11-11,29,False
2018-11-18,50,False
2018-11-25,38,False
2018-12-02,32,False
2018-12-09,39,False
2018-12-16,33,False
2018-12-23,32,False
2018-12-30,29,False
2019-01-06,43,False
2019-01-13,34,False
2019-01-20,41,False
2019-01-27,25,False
2019-02-03,24,False
2019-02-10,17,False
2019-02-17,21,False
2019-02-24,52,False
2019-03-03,38,False
2019-03-10,38,False
2019-03-17,26,False
2019-03-24,36,False
2019-03-31,35,False
2019-04-07,13,False
2019-04-14,32,False
2019-04-21,36,False
2019-04-28,28,False
2019-05-05,37,False
2019-05-12,48,False
2019-05-19,31,False
2019-05-26,21,False
2019-06-02,29,False
2019-06-09,20,False
2019-06-16,53,False
2019-06-23,33,False
2019-06-30,0,False
2019-07-07,18,False
2019-07-14,22,False
2019-07-21,26,False
2019-07-28,33,False
2019-08-04,17,False
2019-08-11,65,False
2019-08-18,45,False
2019-08-25,54,False
2019-09-01,80,False
2019-09-08,52,False
2019-09-15,56,False
2019-09-22,63,False
2019-09-29,25,False
2019-10-06,52,False
2019-10-13,39,False
2019-10-20,26,False
2019-10-27,32,False
2019-11-03,25,False
2019-11-10,65,False
2019-11-17,45,False
2019-11-24,29,False
2019-12-01,16,False
2019-12-08,37,False
2019-12-15,13,False
2019-12-22,36,False
2019-12-29,29,False
2020-01-05,20,False
2020-01-12,20,False
2020-01-19,25,False
2020-01-26,49,False
2020-02-02,33,False
2020-02-09,29,False
2020-02-16,39,False
2020-02-23,40,False
2020-03-01,39,False
2020-03-08,27,False
2020-03-15,25,False
2020-03-22,25,False
2020-03-29,0,False
2020-04-05,38,False
2020-04-12,13,False
2020-04-19,25,False
2020-04-26,12,False
2020-05-03,18,False
2020-05-10,18,False
2020-05-17,39,False
2020-05-24,24,False
2020-05-31,17,False
2020-06-07,18,False
2020-06-14,40,False
2020-06-21,68,True
