date,fotografo matrimonio,isPartial
2018-01-07,36,False
2018-01-14,27,False
2018-01-21,26,False
2018-01-28,17,False
2018-02-04,0,False
2018-02-11,25,False
2018-02-18,32,False
2018-02-25,16,False
2018-03-04,16,False
2018-03-11,0,False
2018-03-18,16,False
2018-03-25,0,False
2018-04-01,18,False
2018-04-08,32,False
2018-04-15,16,False
2018-04-22,18,False
2018-04-29,17,False
2018-05-06,32,False
2018-05-13,32,False
2018-05-20,24,False
2018-05-27,17,False
2018-06-03,0,False
2018-06-10,32,False
2018-06-17,0,False
2018-06-24,25,False
2018-07-01,17,False
2018-07-08,33,False
2018-07-15,0,False
2018-07-22,17,False
2018-07-29,17,False
2018-08-05,0,False
2018-08-12,22,False
2018-08-19,45,False
2018-08-26,48,False
2018-09-02,16,False
2018-09-09,0,False
2018-09-16,46,False
2018-09-23,32,False
2018-09-30,24,False
2018-10-07,24,False
2018-10-14,32,False
2018-10-21,32,False
2018-10-28,16,False
2018-11-04,15,False
2018-11-11,16,False
2018-11-18,32,False
2018-11-25,48,False
2018-12-02,29,False
2018-12-09,50,False
2018-12-16,26,False
2018-12-23,43,False
2018-12-30,46,False
2019-01-06,36,False
2019-01-13,35,False
2019-01-20,100,False
2019-01-27,22,False
2019-02-03,43,False
2019-02-10,35,False
2019-02-17,70,False
2019-02-24,47,False
2019-03-03,37,False
2019-03-10,55,False
2019-03-17,37,False
2019-03-24,45,False
2019-03-31,18,False
2019-04-07,25,False
2019-04-14,26,False
2019-04-21,40,False
2019-04-28,52,False
2019-05-05,47,False
2019-05-12,42,False
2019-05-19,43,False
2019-05-26,67,False
2019-06-02,26,False
2019-06-09,52,False
2019-06-16,18,False
2019-06-23,74,False
2019-06-30,47,False
2019-07-07,17,False
2019-07-14,19,False
2019-07-21,0,False
2019-07-28,20,False
2019-08-04,21,False
2019-08-11,70,False
2019-08-18,22,False
2019-08-25,19,False
2019-09-01,33,False
2019-09-08,18,False
2019-09-15,50,False
2019-09-22,0,False
2019-09-29,25,False
2019-10-06,43,False
2019-10-13,43,False
2019-10-20,50,False
2019-10-27,25,False
2019-11-03,33,False
2019-11-10,25,False
2019-11-17,50,False
2019-11-24,17,False
2019-12-01,17,False
2019-12-08,0,False
2019-12-15,17,False
2019-12-22,21,False
2019-12-29,30,False
2020-01-05,34,False
2020-01-12,64,False
2020-01-19,49,False
2020-01-26,16,False
2020-02-02,32,False
2020-02-09,0,False
2020-02-16,16,False
2020-02-23,0,False
2020-03-01,31,False
2020-03-08,15,False
2020-03-15,15,False
2020-03-22,14,False
2020-03-29,44,False
2020-04-05,31,False
2020-04-12,15,False
2020-04-19,36,False
2020-04-26,25,True
